uf;mes;casos;populacao;incremento;prec;tmax;tmin
21;2019 nov;44;7075181,000000000;0,00000000000000;NA;NA;NA
21;2019 dez;72;7075181,000000000;0,00000000000000;162,20341491699219;31,8073406219482;NA
51;2007 jan;571;2950139,000000000;NA;326,19050598144531;30,7580842971802;20,6471805572510
51;2007 fev;553;2954480,500000000;287,39999999999418;295,69577026367188;30,5617914199829;20,6610603332520
51;2007 mar;527;2958822,000000000;287,39999999999418;220,27806091308594;30,7195434570312;20,4712543487549
51;2007 abr;567;2963163,500000000;287,39999999999418;127,64509963989258;32,0453186035156;20,4202308654785
51;2007 mai;602;2967505,000000000;287,39999999999418;33,45171737670898;31,1827936172485;17,6677131652832
51;2007 jun;754;2971846,500000000;287,40000000002328;6,86209845542908;32,0208759307861;16,2448186874390
51;2007 jul;532;2976188,000000000;287,39999999999418;4,98760652542114;32,1617279052734;14,9693665504456
51;2007 ago;408;2980529,500000000;287,39999999999418;7,57554292678833;32,3781127929688;15,3684654235840
51;2007 set;405;2984871,000000000;287,39999999999418;40,96308708190918;34,1722908020020;19,7150030136108
51;2007 out;631;2989212,500000000;287,39999999999418;177,84917449951172;32,9417781829834;20,0526399612427
51;2007 nov;644;2993554,000000000;287,39999999999418;228,96429443359375;31,7526245117188;20,4758024215698
51;2007 dez;654;2997895,500000000;287,40000000002328;265,49288940429688;30,9912509918213;19,9759244918823
51;2008 jan;318;3002237,000000000;287,39999999999418;346,28564453125000;29,8892698287964;19,7674856185913
51;2008 fev;345;3006639,416666667;69,07500000001164;253,52719116210938;30,2563991546631;20,2721424102783
51;2008 mar;317;3011041,833333333;69,07500000001164;253,29451751708984;30,3017416000366;20,1126594543457
51;2008 abr;247;3015444,250000000;69,07499999998254;142,45584869384766;30,8714923858643;19,2141246795654
51;2008 mai;282;3019846,666666667;69,07500000001164;40,00000000000000;30,3478908538818;16,9035730361938
51;2008 jun;432;3024249,083333333;69,07500000001164;10,11416959762573;30,7920656204224;14,7496628761292
51;2008 jul;323;3028651,500000000;69,07499999998254;3,49790847301483;32,7045154571533;15,7217040061951
51;2008 ago;346;3033053,916666667;69,07500000001164;17,67850399017334;33,8141117095947;17,0092601776123
51;2008 set;436;3037456,333333333;69,07500000001164;56,49874114990234;32,4218845367432;18,2608919143677
51;2008 out;384;3041858,750000000;69,07499999998254;160,52034759521484;33,1499519348145;20,3088598251343
51;2008 nov;309;3046261,166666667;69,07500000001164;210,00000000000000;31,5369129180908;20,2352190017700
51;2008 dez;308;3050663,583333333;69,07500000001164;270,39086914062500;31,0299568176270;20,0891494750977
51;2009 jan;292;3055066,000000000;69,07499999998254;304,83184814453125;30,0885124206543;19,9636802673340
51;2009 fev;324;3059353,250000000;64,90833333332557;273,37739562988281;30,2802724838257;20,3866767883301
