"uf","year_notif","ocup","count"
"Rondônia",2015,"Outros",3518
"Rondônia",2016,"Agricultura",2171
"Rondônia",2016,"Pecuária",76
"Rondônia",2016,"Doméstica",2332
"Rondônia",2016,"Turismo",158
"Rondônia",2016,"Garimpagem",105
"Rondônia",2016,"Exploração Vegetal",93
"Rondônia",2016,"Caça/Pesca",179
"Rondônia",2016,"Consts. Estrada e Barragens",31
"Rondônia",2016,"Mineração",9
"Rondônia",2016,"Viajante",80
"Rondônia",2016,"Outros",3337
"Rondônia",2017,"Agricultura",2270
"Rondônia",2017,"Pecuária",134
"Rondônia",2017,"Doméstica",2372
"Rondônia",2017,"Turismo",159
"Rondônia",2017,"Garimpagem",207
"Rondônia",2017,"Exploração Vegetal",58
"Rondônia",2017,"Caça/Pesca",179
"Rondônia",2017,"Consts. Estrada e Barragens",19
"Rondônia",2017,"Mineração",16
"Rondônia",2017,"Viajante",84
"Rondônia",2017,"Outros",2803
"Rondônia",2018,"Agricultura",2268
"Rondônia",2018,"Pecuária",101
"Rondônia",2018,"Doméstica",2676
"Rondônia",2018,"Turismo",162
"Rondônia",2018,"Garimpagem",315
"Rondônia",2018,"Exploração Vegetal",49
"Rondônia",2018,"Caça/Pesca",232
"Rondônia",2018,"Consts. Estrada e Barragens",19
"Rondônia",2018,"Mineração",17
"Rondônia",2018,"Viajante",147
"Rondônia",2018,"Outros",3699
"Rondônia",2019,"Agricultura",2089
"Rondônia",2019,"Pecuária",113
"Rondônia",2019,"Doméstica",3757
"Rondônia",2019,"Turismo",263
"Rondônia",2019,"Garimpagem",382
"Rondônia",2019,"Exploração Vegetal",166
"Rondônia",2019,"Caça/Pesca",241
"Rondônia",2019,"Consts. Estrada e Barragens",37
"Rondônia",2019,"Mineração",11
"Rondônia",2019,"Viajante",164
"Rondônia",2019,"Outros",4565
"Acre",2007,"Agricultura",9360
"Acre",2007,"Pecuária",225
"Acre",2007,"Doméstica",11520
"Acre",2007,"Turismo",60
"Acre",2007,"Garimpagem",3
"Acre",2007,"Exploração Vegetal",56
"Acre",2007,"Caça/Pesca",317
"Acre",2007,"Consts. Estrada e Barragens",33
"Acre",2007,"Mineração",36
"Acre",2007,"Viajante",215
"Acre",2007,"Outros",18330
"Acre",2007,"Ignorado",15753
"Acre",2008,"Agricultura",3944
"Acre",2008,"Pecuária",108
"Acre",2008,"Doméstica",5757
"Acre",2008,"Turismo",46
"Acre",2008,"Garimpagem",1
"Acre",2008,"Exploração Vegetal",22
"Acre",2008,"Caça/Pesca",93
"Acre",2008,"Consts. Estrada e Barragens",13
"Acre",2008,"Mineração",4
"Acre",2008,"Viajante",102
"Acre",2008,"Outros",11231
"Acre",2008,"Ignorado",7174
"Acre",2009,"Agricultura",3104
"Acre",2009,"Pecuária",49
"Acre",2009,"Doméstica",2642
"Acre",2009,"Turismo",77
"Acre",2009,"Garimpagem",3
"Acre",2009,"Exploração Vegetal",15
"Acre",2009,"Caça/Pesca",94
"Acre",2009,"Consts. Estrada e Barragens",26
"Acre",2009,"Mineração",23
"Acre",2009,"Viajante",98
"Acre",2009,"Outros",15045
"Acre",2009,"Ignorado",7154
"Acre",2010,"Agricultura",4973
"Acre",2010,"Pecuária",104
"Acre",2010,"Doméstica",3210
"Acre",2010,"Turismo",141
"Acre",2010,"Garimpagem",4
"Acre",2010,"Exploração Vegetal",27
"Acre",2010,"Caça/Pesca",129
"Acre",2010,"Consts. Estrada e Barragens",37
"Acre",2010,"Mineração",9
"Acre",2010,"Viajante",179
"Acre",2010,"Outros",24105
"Acre",2010,"Ignorado",7938
"Acre",2011,"Agricultura",4727
"Acre",2011,"Pecuária",139
"Acre",2011,"Doméstica",1737
"Acre",2011,"Turismo",155
"Acre",2011,"Garimpagem",4
"Acre",2011,"Exploração Vegetal",12
"Acre",2011,"Caça/Pesca",29
"Acre",2011,"Consts. Estrada e Barragens",25
"Acre",2011,"Mineração",10
"Acre",2011,"Viajante",133
"Acre",2011,"Outros",15903
"Acre",2011,"Ignorado",2267
"Acre",2012,"Agricultura",3266
"Acre",2012,"Pecuária",71
"Acre",2012,"Doméstica",1858
"Acre",2012,"Turismo",83
"Acre",2012,"Garimpagem",4
"Acre",2012,"Exploração Vegetal",49
"Acre",2012,"Caça/Pesca",60
"Acre",2012,"Consts. Estrada e Barragens",20
"Acre",2012,"Mineração",8
"Acre",2012,"Viajante",122
"Acre",2012,"Outros",23470
"Acre",2012,"Ignorado",975
"Acre",2013,"Agricultura",3080
"Acre",2013,"Pecuária",37
"Acre",2013,"Doméstica",1933
"Acre",2013,"Turismo",88
"Acre",2013,"Garimpagem",4
"Acre",2013,"Exploração Vegetal",19
"Acre",2013,"Caça/Pesca",28
"Acre",2013,"Consts. Estrada e Barragens",20
"Acre",2013,"Mineração",2
"Acre",2013,"Viajante",183
"Acre",2013,"Outros",31169
"Acre",2014,"Agricultura",7347
"Acre",2014,"Pecuária",104
"Acre",2014,"Doméstica",1907
"Acre",2014,"Turismo",78
"Acre",2014,"Garimpagem",2
"Acre",2014,"Exploração Vegetal",15
"Acre",2014,"Caça/Pesca",50
"Acre",2014,"Consts. Estrada e Barragens",19
"Acre",2014,"Mineração",4
"Acre",2014,"Viajante",183
"Acre",2014,"Outros",23828
"Acre",2015,"Agricultura",4688
"Acre",2015,"Pecuária",35
"Acre",2015,"Doméstica",1960
"Acre",2015,"Turismo",37
"Acre",2015,"Garimpagem",6
"Acre",2015,"Exploração Vegetal",7
"Acre",2015,"Caça/Pesca",23
"Acre",2015,"Consts. Estrada e Barragens",9
"Acre",2015,"Viajante",85
"Acre",2015,"Outros",22330
"Acre",2016,"Agricultura",7250
"Acre",2016,"Pecuária",46
"Acre",2016,"Doméstica",2256
"Acre",2016,"Turismo",101
"Acre",2016,"Garimpagem",2
"Acre",2016,"Exploração Vegetal",15
"Acre",2016,"Caça/Pesca",24
"Acre",2016,"Consts. Estrada e Barragens",7
"Acre",2016,"Viajante",489
"Acre",2016,"Outros",28211
"Acre",2017,"Agricultura",10217
"Acre",2017,"Pecuária",83
"Acre",2017,"Doméstica",2735
"Acre",2017,"Turismo",69
"Acre",2017,"Garimpagem",4
"Acre",2017,"Exploração Vegetal",9
"Acre",2017,"Caça/Pesca",37
"Acre",2017,"Consts. Estrada e Barragens",16
"Acre",2017,"Viajante",378
"Acre",2017,"Outros",28571
"Acre",2018,"Agricultura",2438
"Acre",2018,"Pecuária",26
"Acre",2018,"Doméstica",1545
"Acre",2018,"Turismo",57
"Acre",2018,"Garimpagem",4
"Acre",2018,"Exploração Vegetal",15
"Acre",2018,"Caça/Pesca",29
"Acre",2018,"Consts. Estrada e Barragens",8
"Acre",2018,"Viajante",184
"Acre",2018,"Outros",27233
"Acre",2019,"Agricultura",1004
"Acre",2019,"Pecuária",21
"Acre",2019,"Doméstica",1018
"Acre",2019,"Turismo",20
"Acre",2019,"Garimpagem",6
"Acre",2019,"Exploração Vegetal",18
"Acre",2019,"Caça/Pesca",18
"Acre",2019,"Consts. Estrada e Barragens",3
"Acre",2019,"Mineração",1
"Acre",2019,"Viajante",73
"Acre",2019,"Outros",12514
"Amazonas",2007,"Agricultura",56665
"Amazonas",2007,"Pecuária",1206
"Amazonas",2007,"Doméstica",16973
"Amazonas",2007,"Turismo",650
"Amazonas",2007,"Garimpagem",2847
"Amazonas",2007,"Exploração Vegetal",1470
"Amazonas",2007,"Caça/Pesca",3787
"Amazonas",2007,"Consts. Estrada e Barragens",370
"Amazonas",2007,"Mineração",211
"Amazonas",2007,"Viajante",2126
"Amazonas",2007,"Outros",121634
"Amazonas",2007,"Ignorado",33536
"Amazonas",2008,"Agricultura",39109
"Amazonas",2008,"Pecuária",565
"Amazonas",2008,"Doméstica",10352
"Amazonas",2008,"Turismo",461
"Amazonas",2008,"Garimpagem",3170
"Amazonas",2008,"Exploração Vegetal",768
"Amazonas",2008,"Caça/Pesca",3063
"Amazonas",2008,"Consts. Estrada e Barragens",378
"Amazonas",2008,"Mineração",137
"Amazonas",2008,"Viajante",1085
"Amazonas",2008,"Outros",81796
"Amazonas",2008,"Ignorado",23235
"Amazonas",2009,"Agricultura",29207
"Amazonas",2009,"Pecuária",493
"Amazonas",2009,"Doméstica",8994
"Amazonas",2009,"Turismo",426
"Amazonas",2009,"Garimpagem",2030
"Amazonas",2009,"Exploração Vegetal",654
"Amazonas",2009,"Caça/Pesca",2204
"Amazonas",2009,"Consts. Estrada e Barragens",291
"Amazonas",2009,"Mineração",119
"Amazonas",2009,"Viajante",918
"Amazonas",2009,"Outros",57965
"Amazonas",2009,"Ignorado",14885
"Amazonas",2010,"Agricultura",20228
"Amazonas",2010,"Pecuária",392
"Amazonas",2010,"Doméstica",9843
"Amazonas",2010,"Turismo",868
"Amazonas",2010,"Garimpagem",1060
"Amazonas",2010,"Exploração Vegetal",590
"Amazonas",2010,"Caça/Pesca",2421
"Amazonas",2010,"Consts. Estrada e Barragens",403
"Amazonas",2010,"Mineração",38
"Amazonas",2010,"Viajante",1097
"Amazonas",2010,"Outros",38020
"Amazonas",2010,"Ignorado",9532
"Amazonas",2011,"Agricultura",16935
"Amazonas",2011,"Pecuária",465
"Amazonas",2011,"Doméstica",7999
"Amazonas",2011,"Turismo",801
"Amazonas",2011,"Garimpagem",530
"Amazonas",2011,"Exploração Vegetal",587
"Amazonas",2011,"Caça/Pesca",1874
"Amazonas",2011,"Consts. Estrada e Barragens",347
"Amazonas",2011,"Mineração",49
"Amazonas",2011,"Viajante",1092
"Amazonas",2011,"Outros",32993
"Amazonas",2011,"Ignorado",3896
"Amazonas",2012,"Agricultura",24373
"Amazonas",2012,"Pecuária",334
"Amazonas",2012,"Doméstica",9746
"Amazonas",2012,"Turismo",623
"Amazonas",2012,"Garimpagem",395
"Amazonas",2012,"Exploração Vegetal",515
"Amazonas",2012,"Caça/Pesca",2359
"Amazonas",2012,"Consts. Estrada e Barragens",295
"Amazonas",2012,"Mineração",36
"Amazonas",2012,"Viajante",1440
"Amazonas",2012,"Outros",50800
"Amazonas",2012,"Ignorado",513
"Amazonas",2013,"Agricultura",20801
"Amazonas",2013,"Pecuária",268
"Amazonas",2013,"Doméstica",8309
"Amazonas",2013,"Turismo",556
"Amazonas",2013,"Garimpagem",155
"Amazonas",2013,"Exploração Vegetal",493
"Amazonas",2013,"Caça/Pesca",2357
"Amazonas",2013,"Consts. Estrada e Barragens",182
"Amazonas",2013,"Mineração",28
"Amazonas",2013,"Viajante",1044
"Amazonas",2013,"Outros",51792
"Amazonas",2013,"Ignorado",50
"Amazonas",2014,"Agricultura",18961
"Amazonas",2014,"Pecuária",264
"Amazonas",2014,"Doméstica",7609
"Amazonas",2014,"Turismo",534
"Amazonas",2014,"Garimpagem",267
"Amazonas",2014,"Exploração Vegetal",424
"Amazonas",2014,"Caça/Pesca",1780
"Amazonas",2014,"Consts. Estrada e Barragens",141
"Amazonas",2014,"Mineração",9
"Amazonas",2014,"Viajante",1402
"Amazonas",2014,"Outros",43817
"Amazonas",2014,"Ignorado",2
"Amazonas",2015,"Agricultura",20886
"Amazonas",2015,"Pecuária",194
"Amazonas",2015,"Doméstica",7763
"Amazonas",2015,"Turismo",407
"Amazonas",2015,"Garimpagem",298
"Amazonas",2015,"Exploração Vegetal",536
"Amazonas",2015,"Caça/Pesca",1556
"Amazonas",2015,"Consts. Estrada e Barragens",201
"Amazonas",2015,"Mineração",19
"Amazonas",2015,"Viajante",970
"Amazonas",2015,"Outros",52817
"Amazonas",2015,"Ignorado",3
"Amazonas",2016,"Agricultura",11483
"Amazonas",2016,"Pecuária",252
"Amazonas",2016,"Doméstica",7126
"Amazonas",2016,"Turismo",406
"Amazonas",2016,"Garimpagem",443
"Amazonas",2016,"Exploração Vegetal",302
"Amazonas",2016,"Caça/Pesca",1042
"Amazonas",2016,"Consts. Estrada e Barragens",162
"Amazonas",2016,"Mineração",22
"Amazonas",2016,"Viajante",836
"Amazonas",2016,"Outros",36525
"Amazonas",2017,"Agricultura",23873
"Amazonas",2017,"Pecuária",363
"Amazonas",2017,"Doméstica",11310
"Amazonas",2017,"Turismo",575
"Amazonas",2017,"Garimpagem",1083
"Amazonas",2017,"Exploração Vegetal",632
"Amazonas",2017,"Caça/Pesca",2523
"Amazonas",2017,"Consts. Estrada e Barragens",169
"Amazonas",2017,"Mineração",26
"Amazonas",2017,"Viajante",1779
"Amazonas",2017,"Outros",55552
"Amazonas",2017,"Ignorado",1
"Amazonas",2018,"Agricultura",20066
"Amazonas",2018,"Pecuária",299
"Amazonas",2018,"Doméstica",10982
"Amazonas",2018,"Turismo",630
"Amazonas",2018,"Garimpagem",830
"Amazonas",2018,"Exploração Vegetal",605
"Amazonas",2018,"Caça/Pesca",2169
"Amazonas",2018,"Consts. Estrada e Barragens",193
"Amazonas",2018,"Mineração",14
"Amazonas",2018,"Viajante",1919
"Amazonas",2018,"Outros",48278
"Amazonas",2018,"Ignorado",1
"Amazonas",2019,"Agricultura",18559
"Amazonas",2019,"Pecuária",268
"Amazonas",2019,"Doméstica",9437
"Amazonas",2019,"Turismo",612
"Amazonas",2019,"Garimpagem",897
"Amazonas",2019,"Exploração Vegetal",691
