MUNIAT;IDADE_2;POP_TOTAL;IMIGRANTE;EMIGRANTE;MIGRANTE;SALDO;IEM;TX_IMIG;TX_EMIG;TX_MIG
RURÓPOLIS;[0,5);4229,9093532381;355,910682791802;231,479862383458;587,39054517526;124,430820408344;0,21183660756953;0,00547245444411839;0,00841414444305629;0,0138865988871747
RURÓPOLIS;[5,10);4703,00000000006;522,876888635167;692,369374935818;1215,24626357098;-169,49248630065;-0,139471719750529;0,0147218663605318;0,0111179436239668;0,0258398099844986
RURÓPOLIS;[10,15);4875,00000000005;544,180735540035;574,585431273875;1118,76616681391;-30,4046957338393;-0,0271769889327522;0,0117863678210024;0,0111626817546673;0,0229490495756697
RURÓPOLIS;[15,20);4216,00000000005;547,905630236857;451,703262305443;999,6088925423;96,2023679314142;0,0962400081163176;0,0107140242482314;0,012995864094802;0,0237098883430334
RURÓPOLIS;[20,25);3902,00000000005;462,910319129071;655,29325410485;1118,20357323392;-192,382934975779;-0,172046431956387;0,0167937789365669;0,011863411561483;0,0286571904980499
RURÓPOLIS;[25,30);3630,00000000004;593,224387229559;703,851081110976;1297,07546834054;-110,626693881417;-0,0852893270913154;0,0193898369452057;0,0163422696206488;0,0357321065658546
RURÓPOLIS;[30,35);3207,00000000004;761,092645140203;444,027707329506;1205,12035246971;317,064937810697;0,263098152114783;0,0138455786507484;0,0237322309055252;0,0375778095562736
RURÓPOLIS;[35,40);2481,00000000002;347,397552908392;265,351214481257;612,748767389649;82,0463384271352;0,133898822476066;0,010695333110893;0,0140023197464083;0,0246976528573012
RURÓPOLIS;[40,45);2163,00000000003;303,245065314434;151,445957379739;454,691022694173;151,799107934695;0,333851121658928;0,0070016623846388;0,0140196516557758;0,0210213140404146
RURÓPOLIS;[45,50);1631,00000000002;206,069515860968;100,664773783108;306,734289644076;105,40474207786;0,343635340542356;0,00617196651030699;0,0126345503286919;0,0188065168389989
RURÓPOLIS;[50,55);1408,84454885026;189,25444764691;115,457645281672;304,712092928582;73,7968023652372;0,242185341763032;0,00819520119348128;0,0134333094308636;0,0216285106243449
RURÓPOLIS;[55,60);1288,15545114977;165,502365662903;51,7630814596648;217,265447122568;113,739284203238;0,523503786311099;0,00401838779733164;0,0128480119006739;0,0168663996980056
RURÓPOLIS;[60,139);2352,09064676199;328,057895966855;204,210559844238;532,268455811093;123,847336122617;0,232678331339198;0,00868208715192864;0,013947502253728;0,0226295894056567
SALINÓPOLIS;[0,5);3462,97979298639;646,631054325108;357,835019330031;1004,46607365514;288,796034995076;0,287511985292027;0,0103331535475534;0,0186726776643264;0,0290058312118799
SALINÓPOLIS;[5,10);3809;655,666966993664;569,885724130252;1225,55269112392;85,7812428634125;0,0699939247693587;0,0149615574725716;0,0172136247569878;0,0321751822295594
SALINÓPOLIS;[10,15);4330;652,568357381516;686,466546349624;1339,03490373114;-33,898188968108;-0,0253153886232933;0,0158537308625779;0,0150708627570789;0,0309245936196568
SALINÓPOLIS;[15,20);4180;640,105819808707;775,893949071303;1415,99976888001;-135,788129262596;-0,0958955871652422;0,018562056197878;0,01531353635906;0,033875592556938
SALINÓPOLIS;[20,25);3727;633,571494571092;1068,46099272111;1702,0324872922;-434,889498150016;-0,255511866781045;0,0286681243016127;0,016999503476552;0,0456676277781647
SALINÓPOLIS;[25,30);3486;665,852965038839;567,0283087744;1232,88127381324;98,8246562644395;0,0801574801755078;0,0162658723113712;0,0191007735237762;0,0353666458351474
SALINÓPOLIS;[30,35);2876;696,467387900894;474,194091200503;1170,6614791014;222,273296700391;0,189869830577332;0,0164879725730356;0,0242165294819504;0,040704502054986
SALINÓPOLIS;[35,40);2449;363,244266401598;521,488756669927;884,733023071525;-158,244490268329;-0,178861290515587;0,0212939467811322;0,0148323506084768;0,036126297389609
SALINÓPOLIS;[40,45);2095;331,143425603263;223,32476285476;554,468188458023;107,818662748504;0,194454190507029;0,0106598932150243;0,0158063687638789;0,0264662619789032
SALINÓPOLIS;[45,50);1645;329,217468514479;110,070855703725;439,288324218203;219,146612810754;0,498867374180196;0,00669123742879786;0,020013219970485;0,0267044573992829
