MUNIAT;SEXO;POP_TOTAL;IMIGRANTE;EMIGRANTE;MIGRANTE;SALDO;IEM;TX_IMIG;TX_EMIG;TX_MIG
FORTALEZA DO TABOCÃO;Fem;1185;251,204007567814;282,418983014043;533,622990581857;-31,2149754462287;-0,0584963091867391;0,0238328255708052;0,0211986504276636;0,0450314759984688
FORTALEZA DO TABOCÃO;Masc;1234,00000000001;270,735397980523;284,472542616133;555,207940596656;-13,7371446356102;-0,0247423417987278;0,023052880276834;0,021939659479783;0,044992539756617
FORTALEZA DOS NOGUEIRAS;Fem;5674,00000000001;379,084731336797;1445,60636305178;1824,69109438858;-1066,52163171498;-0,584494348109018;0,0254777293452904;0,00668108444372219;0,0321588137890126
FORTALEZA DOS NOGUEIRAS;Masc;5972;345,909262375489;1248,59564882207;1594,50491119756;-902,686386446578;-0,566123302667418;0,0209074957940735;0,0057921845675735;0,026699680361647
FORTUNA;Fem;7486,0000000002;950,250179761814;1882,64394936898;2832,89412913079;-932,393769607164;-0,329131173671233;0,0251488638708112;0,0126936972984476;0,0378425611692589
FORTUNA;Masc;7612,00000000021;954,47468585202;1483,88766937351;2438,36235522553;-529,412983521493;-0,2171182565983;0,0194940576638659;0,0125390788997897;0,0320331365636556
FÁTIMA;Fem;1896;435,818860822791;441,172739351555;876,991600174346;-5,35387852876374;-0,0061048230424321;0,023268604396179;0,0229862268366451;0,0462548312328241
FÁTIMA;Masc;1909;419,742827790051;603,925425350251;1023,6682531403;-184,182597560199;-0,179924108220787;0,031635695408604;0,0219875761021504;0,0536232715107543
GARRAFÃO DO NORTE;Fem;11927;1632,33839327931;2587,09414470503;4219,43253798434;-954,755751425711;-0,226275865967941;0,0216910718932257;0,0136860769118748;0,0353771488051005
GARRAFÃO DO NORTE;Masc;13107;1527,0429063004;2223,697892442;3750,7407987424;-696,654986141602;-0,185737971116315;0,0169657274162051;0,0116505905722164;0,0286163179884215
GAÚCHA DO NORTE;Fem;2850;884,19027010281;465,714650085073;1349,90492018788;418,475620017737;0,310003774161733;0,0163408649152657;0,0310242200036074;0,0473650849188731
GAÚCHA DO NORTE;Masc;3443;1071,58851180636;461,447288341236;1533,0358001476;610,141223465126;0,397995417593237;0,0134024771519383;0,0311236860820901;0,0445261632340283
GENERAL CARNEIRO;Fem;2383;604,746604097634;421,653828455219;1026,40043255285;183,092775642415;0,178383377320905;0,0176942437454981;0,0253775326939838;0,0430717764394819
GENERAL CARNEIRO;Masc;2644,00000000001;581,014453312598;410,76670611481;991,781159427408;170,247747197788;0,171658581713811;0,0155358058288506;0,0219748280375415;0,0375106338663921
GLÓRIA D'OESTE;Fem;1540;468,560002170876;333,367192400042;801,927194570918;135,192809770833;0,168584892351943;0,021647220285717;0,0304259741669399;0,0520731944526569
GLÓRIA D'OESTE;Masc;1595;445,585894648313;312,960989500316;758,546884148629;132,624905147997;0,174840748699207;0,0196213786520574;0,0279364197271669;0,0475577983792243
GODOFREDO VIANA;Fem;5069,00000000001;722,600068587652;681,66653225276;1404,26660084041;40,9335363348916;0,0291494053268761;0,0134477516719818;0,0142552785280657;0,0277030302000475
GODOFREDO VIANA;Masc;5566;826,733105769757;561,973619161248;1388,706724931;264,759486608509;0,190651835881088;0,0100965436428539;0,0148532717529601;0,024949815395814
GOIANORTE;Fem;2307,00000000001;471,636569869844;619,231508153761;1090,8680780236;-147,594938283916;-0,135300446733507;0,0268414177786631;0,0204437178097027;0,0472851355883659
GOIANORTE;Masc;2649,00000000001;607,161801395181;625,764441205391;1232,92624260057;-18,6026398102103;-0,0150882016842892;0,0236226667121702;0,0229204153037062;0,0465430820158764
GOIANÉSIA DO PARÁ;Fem;14686;3965,80639233936;3994,50823705108;7960,31462939044;-28,7018447117193;-0,00360561686918111;0,0271994296408217;0,0270039928662628;0,0542034225070845
GOIANÉSIA DO PARÁ;Masc;15750;4567,41545779016;3733,20914392599;8300,62460171615;834,206313864177;0,100499221912976;0,0237029151995301;0,0289994632240645;0,0527023784235946
GOIATINS;Fem;5777,00000000001;700,559913980787;1292,63582015078;1993,19573413157;-592,075906169998;-0,297048551745954;0,0223755551350317;0,0121267078757277;0,0345022630107594
GOIATINS;Masc;6287,00000000001;651,520994079856;1181,6004231438;1833,12141722366;-530,079429063943;-0,28916765909962;0,018794344252327;0,0103629870221068;0,0291573312744338
GONÇALVES DIAS;Fem;8805,00000000002;936,949418241815;1777,29391791113;2714,24333615295;-840,344499669319;-0,309605439009896;0,0201850530143229;0,0106411063968406;0,0308261594111635
GONÇALVES DIAS;Masc;8677,00000000002;875,892885601884;1938,96869917223;2814,86158477411;-1063,07581357034;-0,377665395456968;0,022346072365705;0,0100944207168593;0,0324404930825643
GOVERNADOR ARCHER;Fem;5138,99999999993;447,985603413009;1344,58825039777;1792,57385381078;-896,602646984762;-0,500176126678798;0,0261643948316363;0,00871736920437857;0,0348817640360149
