MUNIAT;IMIGRANTE;EMIGRANTE;POP_TOTAL;MIGRANTE;SALDO;IEM;TX_IMIG;TX_EMIG;TX_MIG
APARECIDA DO RIO NEGRO;919,652029152711;721,912589824129;4213,00000000001;1641,56461897684;197,739439328583;0,120457907683117;0,0171353569860937;0,0218289112070427;0,0389642681931364
APIACÁS;2971,43353317785;1611,71923430841;8567,00000000002;4583,15276748626;1359,71429886944;0,296676625862335;0,0188131111743715;0,0346846449536342;0,0534977561280057
APICUM-AÇU;2120,98751776779;1452,02588403171;14958,9999999999;3573,0134017995;668,961633736081;0,187226175361998;0,00970670421840843;0,0141786718214306;0,023885376039839
APUÍ;5318,51043399657;2632,46237987154;18007,0000000003;7950,97281386811;2686,04805412503;0,337826341128977;0,0146191057914783;0,0295357940467401;0,0441548998382184
ARAGOMINAS;2106,8381315672;992,502268662306;5882;3099,34040022951;1114,3358629049;0,359539682321561;0,016873550980318;0,0358183973404829;0,0526919483208009
ARAGUACEMA;1780,28858106199;1564,96664530539;6317,00000000004;3345,25522636738;215,321935756597;0,0643663700334206;0,0247738902217094;0,0281825008874779;0,0529563911091872
ARAGUAIANA;1085,08488654596;775,009207023002;3197,00000000001;1860,09409356896;310,07567952296;0,166698921627141;0,0242417643735689;0,0339407221315595;0,0581824865051285
ARAGUAINHA;240,856978486252;326,054287557572;1096,00000000001;566,911266043824;-85,1973090713208;-0,150283323289495;0,0297494787917492;0,0219760016867017;0,0517254804784508
ARAGUANÃ;4180,35737597798;2969,80336049514;19003,0000000002;7150,16073647311;1210,55401548284;0,169304447843778;0,0156280764115935;0,0219984074934376;0,0376264839050311
ARAGUATINS;6413,83221573273;7512,62947101269;31329,0000000004;13926,4616867454;-1098,79725527995;-0,0788999589411674;0,0239797933895515;0,0204725085886324;0,0444523019781839
ARAGUAÇU;1569,96102932122;2184,46473021202;8786,00000000018;3754,42575953323;-614,503700890801;-0,163674484528148;0,0248630176441153;0,0178688940282402;0,0427319116723555
ARAGUAÍNA;34944,1892184164;32725,6333387059;150484,000000002;67669,8225571222;2218,55587971055;0,0327850110414845;0,0217469188343647;0,0232211990765901;0,0449681179109547
ARAIOSES;3034,55534210215;6463,00265830488;42505,0000000001;9497,55800040703;-3428,44731620274;-0,360981982532331;0,0152052762223382;0,00713929030020502;0,0223445665225433
ARAME;3679,56005339011;7282,23853290685;31702,0000000002;10961,798586297;-3602,67847951674;-0,328657605880512;0,0229709120336471;0,0116067126786641;0,0345776247123112
ARAPOEMA;1249,605660036;2403,8162140386;6742,00000000007;3653,4218740746;-1154,21055400259;-0,315925889148773;0,0356543490661313;0,0185346434297833;0,0541889924959147
ARAPUTANGA;4362,37647802787;4536,28234011473;15342,0000000004;8898,6588181426;-173,905862086856;-0,0195429295179063;0,0295677378445745;0,0284342098685163;0,0580019477130907
ARARI;2536,4861245768;4054,95354319485;28488;6591,43966777165;-1518,46741861805;-0,230369615008764;0,0142339003903217;0,00890370024072171;0,0231376006310434
ARENÁPOLIS;2167,44966760652;3672,18327284756;10316;5839,63294045408;-1504,73360524104;-0,257676059537405;0,0355969685231443;0,0210105628887798;0,0566075314119242
ARIPUANÃ;7767,21201891605;4213,12657043399;18656,0000000003;11980,33858935;3554,08544848206;0,29665984996797;0,0225832256133894;0,0416338551614276;0,0642170807748171
ARIQUEMES;19083,2134729893;21652,7748658217;90352,9999999997;40735,9883388111;-2569,56139283236;-0,0630784104576204;0,0239646440802428;0,0211207303277029;0,0450853744079457
ARRAIAS;1653,82983264427;2319,05504878991;10644,9999999998;3972,88488143418;-665,225216145632;-0,167441352064923;0,021785392661249;0,0155362126129104;0,0373216052741594
ASSIS BRASIL;791,247116052175;735,249501482483;6072;1526,49661753466;55,9976145696921;0,0366837462503717;0,012108852132452;0,0130310789863665;0,0251399311188185
ATALAIA DO NORTE;1050,94946437089;1438,13737041016;15153,0000000001;2489,08683478106;-387,187906039269;-0,155554197880496;0,00949077654860528;0,00693558677734369;0,016426363325949
AUGUSTINÓPOLIS;3820,99582826533;4383,24973167309;15950;8204,24555993841;-562,253903407762;-0,068532066635507;0,0274811895402702;0,0239560866975883;0,0514372762378585
AUGUSTO CORRÊA;3035,04479796378;3621,5054997593;40497,0000000001;6656,55029772308;-586,460701795523;-0,088102797329741;0,00894265130690988;0,00749449292037379;0,0164371442272837
AURORA DO PARÁ;3838,67662872501;4039,5043908001;26545,9999999999;7878,18101952512;-200,827762075091;-0,0254916409736414;0,0152169983831843;0,0144604709889438;0,0296774693721281
AURORA DO TOCANTINS;463,939984489886;919,531977542877;3446,00000000001;1383,47196203276;-455,591993052991;-0,329310608061461;0,0266840388143608;0,0134631452260559;0,0401471840404167
AUTAZES;4012,69853942067;4581,2855473677;32135;8593,98408678837;-568,587007947027;-0,0661610496604389;0,01425637326083;0,0124870033901375;0,0267433766509674
AVEIRO;1919,96407043581;1947,0865329837;15849,0000000009;3867,05060341951;-27,1224625478919;-0,00701373354770904;0,0122852327148943;0,0121141022804953;0,0243993349953896
AXIXÁ;1326,3838181004;1574,75799385857;11407;2901,14181195897;-248,374175758166;-0,0856125594186149;0,0138051897419003;0,0116278058919997;0,0254329956338999
AXIXÁ DO TOCANTINS;1440,43970494823;2874,33127593048;9274,99999999999;4314,77098087871;-1433,89157098225;-0,332321594202027;0,0309900946191966;0,0155303472231615;0,0465204418423581
AÇAILÂNDIA;20044,0750879946;25874,1880963161;104047,000000001;45918,2631843107;-5830,11300832149;-0,12696719353082;0,0248677886881081;0,0192644430766811;0,0441322317647893
BABAÇULÂNDIA;1613,81049412222;1659,05604627382;10424;3272,86654039604;-45,2455521516015;-0,0138244415386783;0,0159157333679376;0,0154816816396989;0,0313974150076365
BACABAL;10762,6279829864;22639,6709877082;100014;33402,2989706945;-11877,0430047218;-0,355575615173736;0,0226365018774452;0,0107611214259867;0,0333976233034319
BACABEIRA;2328,23367763521;1208,31048433281;14925;3536,54416196802;1119,92319330241;0,316671626879725;0,00809588264209588;0,0155995556290467;0,0236954382711426
BACURI;1902,43302767219;3331,23311490467;16604;5233,66614257686;-1428,80008723248;-0,273001763641154;0,0200628349488356;0,0114576790392206;0,0315205139880562
BACURITUBA;445,91595775736;292,91773992822;5293;738,83369768558;152,99821782914;0,207080725078474;0,00553405894442132;0,00842463551402532;0,0139586944584466
BAGRE;738,371028233425;1683,03064773474;23864;2421,40167596817;-944,659619501317;-0,390129249879042;0,00705259238909966;0,00309407906567811;0,0101466714547778
BAIÃO;3956,36070197994;3479,17815221294;36882,0000000004;7435,53885419288;477,182549767003;0,0641759204173778;0,00943326867364271;0,0107270774415159;0,0201603461151586
BALSAS;16523,8512404222;12003,0365809093;83527,9999999997;28526,8878213315;4520,81465951294;0,158475564801444;0,0143700754009546;0,0197824097792624;0,034152485180217
BANDEIRANTES DO TOCANTINS;777,12496107303;496,823507755389;3122;1273,94846882842;280,301453317641;0,220025739012363;0,0159136293323315;0,0248918949735115;0,040805524305843
BANNACH;1456,85014660467;621,677683645031;3431;2078,5278302497;835,172462959642;0,401809612940958;0,0181194311758971;0,0424613857943652;0,0605808169702624
BARCARENA;25195,726676921;10567,8621568743;99859,0000000008;35763,5888337953;14627,8645200467;0,409015565748364;0,0105827838821481;0,0252313028138884;0,0358140866960364
