UF;IDADE_2;POP_TOTAL;IMIGRANTE;EMIGRANTE;MIGRANTE;SALDO;IEM;TX_IMIG;TX_EMIG;TX_MIG
ACRE;[55,60);20415,9189966126;695,175600236743;858,896447651793;1554,07204788854;-163,720847415051;-0,105349586357655;0,00420699380612894;0,00340506641093201;0,00761206021706094
ACRE;[60,139);46799,2187214666;1569,01125186235;1393,74329581163;2962,75454767398;175,267956050725;0,0591570962867395;0,00297813368233074;0,00335264411399811;0,00633077779632885
AMAPÁ;[0,5);70048,6894346627;4326,00611832259;3319,87561070116;7645,88172902375;1006,13050762143;0,131591168066616;0,00473938290279897;0,00617571314072568;0,0109150960435247
AMAPÁ;[5,10);72501,9136630221;8231,18723893975;4922,11026642061;13153,2975053604;3309,07697251914;0,251577748558534;0,00678893841243672;0,0113530620408132;0,01814200045325
AMAPÁ;[10,15);79103,7617448123;8380,30715515125;4275,35929242745;12655,6664475787;4104,94786272381;0,324356514903976;0,00540474839391292;0,010594069068657;0,0159988174625699
AMAPÁ;[15,20);73243,7007736177;9919,01675716685;3960,11850913634;13879,1352663032;5958,89824803051;0,429342184055081;0,00540677009395841;0,0135424844080785;0,0189492545020369
AMAPÁ;[20,25);68509,0690049063;11759,4391338307;3655,92120776562;15415,3603415963;8103,51792606509;0,525678138330559;0,00533640474300387;0,017164791909504;0,0225011966525079
AMAPÁ;[25,30);63763,2477757583;11590,057534845;4481,16165336421;16071,2191882092;7108,89588148075;0,442337062187309;0,0070278127442998;0,0181767051383654;0,0252045178826652
AMAPÁ;[30,35);55196,9323789;9235,35804940364;3358,27703999263;12593,6350893963;5877,08100941101;0,466670740234443;0,00608417333220567;0,0167316509294528;0,0228158242616585
AMAPÁ;[35,40);46687,1784293537;7008,68603842339;2640,90716562958;9649,59320405297;4367,7788727938;0,45263865330191;0,00565660049391454;0,0150120145920337;0,0206686150859482
AMAPÁ;[40,45);37214,9232185339;4616,89793771278;2125,06456077152;6741,9624984843;2491,83337694126;0,369600598861454;0,00571024840839437;0,0124060391327462;0,0181162875411406
AMAPÁ;[45,50);28921,5831781417;3574,72903863641;1497,07047143725;5071,79951007367;2077,65856719916;0,409649191193873;0,00517630885631706;0,0123600738473339;0,017536382703651
AMAPÁ;[50,55);22919,8366472649;2585,67516356432;936,92658384742;3522,60174741174;1648,7485797169;0,468048532857378;0,00408784145483526;0,0112813856545216;0,0153692271093568
AMAPÁ;[55,60);16680,8339629124;1567,23891970117;400,01929234179;1967,25821204296;1167,21962735938;0,593323042300199;0,00239807729776089;0,00939544703331809;0,011793524331079
AMAPÁ;[60,139);34734,3297881058;3486,73493290429;1042,69473819832;4529,42967110261;2444,04019470597;0,539591156542013;0,00300191408488145;0,0100382962739597;0,0130402103588411
AMAZONAS;[0,5);371366,79830388;8828,80676454029;8442,37007792974;17271,17684247;386,436686610547;0,022374658666009;0,00227332387183993;0,0023773818243482;0,00465070569618813
AMAZONAS;[5,10);384281,822893501;15037,4468567176;13920,22704351;28957,6739002276;1117,21981320758;0,0385811311038627;0,00362240059618115;0,00391312988563735;0,0075355304818185
AMAZONAS;[10,15);400696,970497094;15156,6163581956;12595,6068724459;27752,2232306414;2561,00948574967;0,0922812368748187;0,00314342453271361;0,00378256325207367;0,00692598778478728
AMAZONAS;[15,20);364760,810965848;17746,5431689496;12737,1625173161;30483,7056862657;5009,38065163352;0,164329780086103;0,00349192186616468;0,00486525488359307;0,00835717674975775
AMAZONAS;[20,25);339440,055563964;25070,4536597412;14362,9248277485;39433,3784874897;10707,5288319927;0,271534655225894;0,00423135825967421;0,00738582652483009;0,0116171847845043
AMAZONAS;[25,30);323525,869607673;25734,8615146773;14766,9621185071;40501,8236331844;10967,8993961702;0,270800137186511;0,00456438371880877;0,00795449883061438;0,0125188825494232
AMAZONAS;[30,35);285747,441898532;19817,7564568345;13184,1642267936;33001,9206836281;6633,59223004094;0,201006247291898;0,00461392204920428;0,00693540992883908;0,0115493319780434
AMAZONAS;[35,40);232754,899499381;13837,0383726564;10843,7134205098;24680,7517931662;2993,32495214662;0,121281757429101;0,00465885506334469;0,00594489671427655;0,0106037517776212
AMAZONAS;[40,45);191784,282495283;11464,1559889625;8650,46303746577;20114,6190264283;2813,69295149671;0,139882984997123;0,00451051719406596;0,00597763061696386;0,0104881478110298
AMAZONAS;[45,50);157396,727087571;7807,060982278;5544,16946661733;13351,2304488953;2262,89151566067;0,169489360873694;0,00352241725047606;0,00496011646921627;0,00848253371969234
AMAZONAS;[50,55);125411,994603963;5906,95912045032;4077,57230462674;9984,53142507706;1829,38681582358;0,18322210006059;0,00325134156226704;0,00471004319730649;0,00796138475957353
AMAZONAS;[55,60);96643,9048706412;3809,11271896124;2898,77479945293;6707,88751841417;910,337919508313;0,135711565975025;0,00299943881958512;0,00394138949999979;0,00694082831958492
AMAZONAS;[60,139);210173,4217127;6706,3998066563;4894,89158569018;11601,2913923465;1811,50822096612;0,15614711842866;0,00232897744434181;0,00319088862521529;0,0055198660695571
