Source;Target;Weight;Weight_v
5106422;2104057;13,543843;13,5438435
5106422;2104503;9,534646;9,53464558
5106422;2104628;8,461894;8,46189378
5106422;2105302;170,846506;170,84650594
5106422;2105609;40,757174;40,7571741
5106422;2105708;24,635193;24,63519345
5106422;2106359;22,804073;22,80407317
5106422;2107704;67,743082;67,7430821
5106422;2108207;34,043718;34,04371827
5106422;2108256;2,765245;2,76524477
5106422;2108454;16,785201;16,78520079
5106422;2108504;52,203088;52,2030876
5106422;2108702;9,642899;9,6428989
5106422;2109908;20,240196;20,24019631
5106422;2110005;7,680637;7,6806371
5106422;2110039;32,440936;32,44093651
5106422;2110302;11,560683;11,56068305
5106422;2111300;8,972839;8,97283917
5106422;2111532;5,880886;5,88088639
5106422;2111748;4,105907;4,10590753
5106422;2111763;30,403605;30,40360505
5106422;2112274;7,007893;7,00789261
5106422;2114007;81,526977;81,5269768
5106422;5100250;99,059743;99,05974344
5106422;5100300;9,885347;9,8853465
5106422;5100359;5,563148;5,56314796
5106422;5100805;36,140299;36,14029939
5106422;5101308;14,371131;14,37113096
5106422;5101704;38,761374;38,7613738
5106422;5101803;74,136084;74,13608359
5106422;5102504;6,322226;6,32222621
5106422;5102694;33,357039;33,35703864
5106422;5102702;6,892954;6,89295373
5106422;5103056;286,082218;286,08221774
5106422;5103205;283,929485;283,92948499
5106422;5103403;316,083092;316,08309228
5106422;5103502;83,181712;83,18171186
5106422;5103700;240,843448;240,8434481
5106422;5103908;10,599497;10,59949722
5106422;5104104;580,411822;580,41182237
5106422;5104559;17,150261;17,15026133
5106422;5104807;16,340103;16,3401033
5106422;5105150;116,654989;116,65498904
5106422;5105200;8,174465;8,17446542
5106422;5105259;187,756801;187,75680145
5106422;5105580;961,755012;961,75501226
5106422;5105606;354,408154;354,40815371
5106422;5105903;8,880568;8,88056756
5106422;5106158;28,053943;28,05394323
5106422;5106182;97,700162;97,70016205
5106422;5106208;6,544077;6,54407683
5106422;5106216;6,947733;6,94773324
5106422;5106224;43,537253;43,53725311
5106422;5106232;15,955016;15,95501638
5106422;5106240;27,012373;27,01237293
5106422;5106265;121,825028;121,82502836
5106422;5106273;3,148715;3,14871536
5106422;5106299;44,717412;44,71741159
5106422;5106307;132,202553;132,20255281
5106455;1100379;17,638214;17,63821383
5106455;5101308;9,126788;9,12678834
5106455;5102504;10,523876;10,52387578
5106455;5102678;120,988537;120,98853685
5106455;5102850;12,389349;12,38934952
5106455;5103007;7,157863;7,15786291
5106455;5103403;171,57108;171,57108008
5106455;5103601;7,450916;7,45091635
5106455;5104104;5,369679;5,36967929
5106455;5105101;8,242386;8,24238628
5106455;5105176;18,649594;18,64959412
5106455;5106208;162,368899;162,36889949
5106455;5106240;4,852435;4,85243471
5106455;5106307;233,329532;233,32953148
5106505;1100072;32,532779;32,53277919
5106505;1100148;43,550073;43,55007276
5106505;1100338;51,3125;51,3124996
5106505;1101492;29,550464;29,5504637
5106505;1503606;8,694643;8,69464352
5106505;1701101;3,431694;3,43169365
5106505;5100102;4,439193;4,43919336
5106505;5100250;34,69797;34,69797052
5106505;5100508;27,930707;27,93070686
5106505;5100607;4,278558;4,27855785
5106505;5101258;18,747843;18,74784312
5106505;5101605;62,211253;62,21125303
5106505;5101704;19,443927;19,44392721
5106505;5101803;30,07854;30,07853961
5106505;5102504;206,464724;206,46472423
5106505;5102637;36,683293;36,68329272
5106505;5102678;35,472352;35,47235252
5106505;5103007;61,351297;61,35129657
5106505;5103205;32,6717;32,67169965
5106505;5103304;19,708524;19,70852394
5106505;5103403;1323,388802;1323,38880173
5106505;5103452;28,038432;28,038432
5106505;5103502;72,937548;72,93754771
5106505;5103858;10,416109;10,41610947
5106505;5103957;36,668204;36,66820421
5106505;5104104;133,988253;133,98825312
5106505;5104203;8,891874;8,89187433
5106505;5104559;10,245702;10,2457024
5106505;5104609;17,381343;17,38134265
5106505;5104807;25,56704;25,56704013
5106505;5104906;12,345781;12,34578118
5106505;5105200;14,294879;14,29487883
5106505;5105259;6,136318;6,13631772
5106505;5105622;5,244267;5,24426711
5106505;5106000;16,159151;16,1591509
5106505;5106109;62,079245;62,07924544
5106505;5106158;7,747038;7,7470376
5106505;5106182;31,114229;31,11422898
5106505;5106208;5,658662;5,65866229
5106505;5106224;27,317594;27,31759371
5106505;5106232;44,025981;44,02598071
5106505;5106240;16,880254;16,88025374
5106505;5106257;10,625702;10,62570201
5106653;5100201;6,648875;6,64887497
5106653;5100250;53,996207;53,99620732
5106653;5100300;9,143975;9,14397487
5106653;5100607;3,135578;3,13557746
5106653;5100805;3,263367;3,26336724
5106653;5101001;7,239801;7,23980064
5106653;5101803;251,001437;251,00143695
5106653;5102603;15,382789;15,3827886
5106653;5102702;35,259132;35,25913202
