uf_code;ano;age_group;sexo;pop;pop_percent;cases
AP;2007;65-69;Men;3000;0,00468750000000000;92
AP;2007;65-69;Women;4000;0,00625000000000000;44
AP;2007;70+;Men;6000;0,00937500000000000;73
AP;2007;70+;Women;9000;0,01406250000000000;49
TO;2007;0-4;Men;62000;0,04565537555228277;6
TO;2007;0-4;Women;64000;0,04712812960235641;3
TO;2007;5-9;Men;73000;0,05375552282768778;6
TO;2007;5-9;Women;70000;0,05154639175257732;4
TO;2007;10-14;Men;70000;0,05154639175257732;8
TO;2007;10-14;Women;75000;0,05522827687776141;4
TO;2007;15-19;Men;74000;0,05449189985272460;19
TO;2007;15-19;Women;70000;0,05154639175257732;8
TO;2007;20-24;Men;67000;0,04933726067746686;37
TO;2007;20-24;Women;65000;0,04786450662739323;7
TO;2007;25-29;Men;50000;0,03681885125184094;33
TO;2007;25-29;Women;50000;0,03681885125184094;12
TO;2007;30-34;Men;47000;0,03460972017673049;34
TO;2007;30-34;Women;56000;0,04123711340206185;3
TO;2007;35-39;Men;44000;0,03240058910162003;22
TO;2007;35-39;Women;51000;0,03755522827687776;7
TO;2007;40-44;Men;41000;0,03019145802650957;17
TO;2007;40-44;Women;41000;0,03019145802650957;8
TO;2007;45-49;Men;31000;0,02282768777614138;19
TO;2007;45-49;Women;33000;0,02430044182621502;5
TO;2007;50-54;Men;29000;0,02135493372606775;3
TO;2007;50-54;Women;24000;0,01767304860088365;5
TO;2007;55-59;Men;28000;0,02061855670103093;7
TO;2007;55-59;Women;23000;0,01693667157584683;2
TO;2007;60-64;Men;19000;0,01399116347569956;6
TO;2007;60-64;Women;19000;0,01399116347569956;NA
TO;2007;65-69;Men;15000;0,01104565537555228;1
TO;2007;65-69;Women;14000;0,01030927835051546;NA
TO;2007;70+;Men;25000;0,01840942562592047;1
TO;2007;70+;Women;28000;0,02061855670103093;NA
MA;2007;0-4;Men;321000;0,05010927255697784;225
MA;2007;0-4;Women;319000;0,04979706525132688;220
MA;2007;5-9;Men;375000;0,05853886980955354;278
MA;2007;5-9;Women;332000;0,05182641273805807;208
MA;2007;10-14;Men;379000;0,05916328442085545;360
MA;2007;10-14;Women;352000;0,05494848579456759;241
MA;2007;15-19;Men;351000;0,05479238214174212;626
MA;2007;15-19;Women;337000;0,05260693100218545;214
MA;2007;20-24;Men;303000;0,04729940680611926;822
MA;2007;20-24;Women;314000;0,04901654698719950;260
MA;2007;25-29;Men;229000;0,03574773649703403;658
MA;2007;25-29;Women;279000;0,04355291913830784;214
MA;2007;30-34;Men;207000;0,03231345613487355;489
MA;2007;30-34;Women;236000;0,03684046206681237;149
MA;2007;35-39;Men;195000;0,03044021230096784;355
MA;2007;35-39;Women;212000;0,03309397439900093;102
MA;2007;40-44;Men;161000;0,02513268810490165;289
MA;2007;40-44;Women;163000;0,02544489541055261;90
MA;2007;45-49;Men;149000;0,02325944427099594;170
MA;2007;45-49;Women;173000;0,02700593193880737;70
MA;2007;50-54;Men;126000;0,01966906025600999;95
MA;2007;50-54;Women;140000;0,02185451139556666;54
MA;2007;55-59;Men;89000;0,01389322510146737;93
