"uf" "year_notif" "cruzes" "count" "perc"
"Amazonas" 2010 "menor que meia cruz" 22533 26.6687970458742
"Amazonas" 2010 "meia cruz" 15135 17.9129385030535
"Amazonas" 2010 "uma cruz" 19348 22.8992093926052
"Amazonas" 2010 "duas cruzes)" 25653 30.3614543388723
"Amazonas" 2010 "três cruzes" 1776 2.10197415139895
"Amazonas" 2010 "quatro cruzes" 47 0.0556265681958055
"Amazonas" 2011 "menor que meia cruz" 18756 27.758702344305
"Amazonas" 2011 "meia cruz" 11503 17.0243310442813
"Amazonas" 2011 "uma cruz" 15021 22.2309377219986
"Amazonas" 2011 "duas cruzes)" 20904 30.9377219985792
"Amazonas" 2011 "três cruzes" 1363 2.01722708974663
"Amazonas" 2011 "quatro cruzes" 21 0.031079801089273
"Amazonas" 2012 "menor que meia cruz" 24529 26.8284679915563
"Amazonas" 2012 "meia cruz" 15806 17.2877314637588
"Amazonas" 2012 "uma cruz" 20516 22.4392698159227
"Amazonas" 2012 "duas cruzes)" 28885 31.5928206586532
"Amazonas" 2012 "três cruzes" 1653 1.80796027518621
"Amazonas" 2012 "quatro cruzes" 40 0.0437497949228363
"Amazonas" 2013 "menor que meia cruz" 23750 27.6050444586506
"Amazonas" 2013 "meia cruz" 15187 17.6521183239379
"Amazonas" 2013 "uma cruz" 19802 23.0162143313768
"Amazonas" 2013 "duas cruzes)" 25827 30.0191782414134
"Amazonas" 2013 "três cruzes" 1447 1.6818736560702
"Amazonas" 2013 "quatro cruzes" 22 0.025570988551171
"Amazonas" 2014 "menor que meia cruz" 25427 33.8080042547534
"Amazonas" 2014 "meia cruz" 12152 16.1574258742189
"Amazonas" 2014 "uma cruz" 16076 21.3748171785667
"Amazonas" 2014 "duas cruzes)" 20291 26.9791251163409
"Amazonas" 2014 "três cruzes" 1227 1.63143199042681
"Amazonas" 2014 "quatro cruzes" 37 0.0491955856933918
"Amazonas" 2015 "menor que meia cruz" 26411 30.835960303561
"Amazonas" 2015 "meia cruz" 15096 17.6252189141856
"Amazonas" 2015 "uma cruz" 19016 22.2019848219498
"Amazonas" 2015 "duas cruzes)" 23821 27.8120256859311
"Amazonas" 2015 "três cruzes" 1282 1.49678925861062
"Amazonas" 2015 "quatro cruzes" 24 0.0280210157618214
"Amazonas" 2016 "menor que meia cruz" 16411 28.0055973651427
"Amazonas" 2016 "meia cruz" 9929 16.9439751531596
"Amazonas" 2016 "uma cruz" 12976 22.1437225891227
"Amazonas" 2016 "duas cruzes)" 18440 31.4681137903377
"Amazonas" 2016 "três cruzes" 822 1.40275431321354
"Amazonas" 2016 "quatro cruzes" 21 0.0358367890237035
