"MUN_INFE" "year_notif" "municipio" "uf" "count_falciparum" "perc_falciparum" "count" "pro_tratamento"
110020 2009 "Porto Velho" "Rondônia" 2306 0.0885492665693879 15736 0.604254665540281
110020 2010 "Porto Velho" "Rondônia" 2126 0.0711846246568004 16629 0.556786981852273
110020 2011 "Porto Velho" "Rondônia" 770 0.0364583333333333 11773 0.557433712121212
110020 2012 "Porto Velho" "Rondônia" 452 0.0227765180146133 10774 0.542907533383724
110020 2013 "Porto Velho" "Rondônia" 300 0.025974025974026 5952 0.515324675324675
110020 2014 "Porto Velho" "Rondônia" 689 0.0900535877663051 3979 0.520062736897138
110020 2015 "Porto Velho" "Rondônia" 468 0.111908177905308 2087 0.499043519846963
110020 2016 "Porto Velho" "Rondônia" 420 0.122022080185938 1593 0.462812318419524
110020 2017 "Porto Velho" "Rondônia" 374 0.113920194943649 1483 0.451720986902224
110020 2018 "Porto Velho" "Rondônia" 380 0.0915221579961464 1862 0.448458574181118
110020 2019 "Porto Velho" "Rondônia" 522 0.0802706443180071 2897 0.445486698446871
110025 2007 "Presidente Médici" "Rondônia" 19 0.143939393939394 70 0.53030303030303
110025 2008 "Presidente Médici" "Rondônia" 1 0.0344827586206897 7 0.241379310344828
110025 2009 "Presidente Médici" "Rondônia" 4 0.133333333333333 13 0.433333333333333
110025 2010 "Presidente Médici" "Rondônia" 10 0.175438596491228 26 0.456140350877193
110026 2007 "Rio Crespo" "Rondônia" 216 0.277992277992278 630 0.810810810810811
110026 2008 "Rio Crespo" "Rondônia" 236 0.252947481243301 758 0.812433011789925
110026 2009 "Rio Crespo" "Rondônia" 213 0.174019607843137 1047 0.855392156862745
110026 2010 "Rio Crespo" "Rondônia" 205 0.220667384284177 757 0.814854682454252
110026 2011 "Rio Crespo" "Rondônia" 40 0.176211453744493 177 0.779735682819383
110026 2012 "Rio Crespo" "Rondônia" 7 0.0614035087719298 72 0.631578947368421
110026 2014 "Rio Crespo" "Rondônia" 1 0.00934579439252336 75 0.700934579439252
110026 2017 "Rio Crespo" "Rondônia" 3 0.06 21 0.42
110026 2018 "Rio Crespo" "Rondônia" 13 0.216666666666667 26 0.433333333333333
110026 2019 "Rio Crespo" "Rondônia" 5 0.166666666666667 13 0.433333333333333
110028 2007 "Rolim de Moura" "Rondônia" 5 0.277777777777778 8 0.444444444444444
110028 2008 "Rolim de Moura" "Rondônia" 3 0.1875 7 0.4375
110028 2009 "Rolim de Moura" "Rondônia" 2 0.166666666666667 10 0.833333333333333
110028 2016 "Rolim de Moura" "Rondônia" 1 0.25 4 1
110029 2007 "Santa Luzia DOeste" "Rondônia" 2 0.2 9 0.9
110030 2007 "Vilhena" "Rondônia" 27 0.402985074626866 17 0.253731343283582
110030 2008 "Vilhena" "Rondônia" 8 0.421052631578947 8 0.421052631578947
110030 2010 "Vilhena" "Rondônia" 4 0.0833333333333333 13 0.270833333333333
110030 2013 "Vilhena" "Rondônia" 2 0.166666666666667 3 0.25
110030 2018 "Vilhena" "Rondônia" 1 0.0769230769230769 4 0.307692307692308
110032 2007 "SaÞo Miguel do Guaporé" "Rondônia" 35 0.28 73 0.584
