origem;destino;ano;fluxos
110110;110002;2017; 153
130020;130060;2011; 153
130353;130260;2013; 153
130420;130260;2007; 153
150309;150497;2009; 153
150360;150680;2009; 153
160015;160030;2018; 153
150548;150810;2015; 152
160040;160030;2009; 152
160040;160060;2012; 152
160040;160060;2018; 152
160050;160030;2010; 152
130110;130260;2016; 151
130250;130260;2010; 151
510325;110002;2011; 151
120020;120042;2017; 150
130190;130260;2018; 150
150060;150815;2009; 150
160005;160030;2015; 150
510757;110012;2008; 150
130090;110020;2020; 149
130165;120020;2011; 149
130320;130260;2008; 149
210317;150550;2008; 149
150210;150140;2011; 148
150360;130290;2008; 148
150580;150548;2017; 148
110013;110002;2007; 147
110080;110002;2007; 147
140030;140010;2011; 147
150360;150680;2008; 147
160015;160030;2017; 147
160070;160030;2014; 147
120033;120020;2009; 146
120033;120020;2014; 146
130090;130240;2015; 146
130390;130060;2009; 146
150030;160030;2012; 146
150085;150060;2011; 146
150375;150360;2013; 146
120042;120020;2009; 145
130090;130240;2007; 145
130110;130260;2013; 145
130120;130260;2009; 145
140047;140010;2007; 145
150030;160030;2010; 144
110020;130170;2010; 143
130420;130260;2008; 143
140002;140010;2011; 143
150070;150140;2012; 143
150195;210317;2009; 143
160015;160053;2014; 143
130120;130260;2016; 142
130270;130170;2019; 142
140005;140010;2010; 142
140047;140010;2018; 142
150070;160030;2011; 142
150550;150345;2009; 142
150550;150345;2010; 142
510325;110013;2018; 142
110094;110002;2010; 141
110140;110002;2008; 141
120020;120040;2016; 141
140030;140010;2012; 141
160015;160030;2012; 141
110020;110010;2010; 140
130090;130170;2019; 140
150070;150570;2010; 140
150618;150420;2008; 140
150810;150178;2012; 140
160060;160030;2013; 140
130002;130420;2011; 139
150503;150360;2008; 139
150520;150210;2011; 139
110026;110002;2007; 138
160020;160030;2016; 138
510325;110013;2012; 138
110080;110020;2015; 137
130090;130170;2017; 137
150070;150140;2011; 137
150309;150178;2009; 137
160015;160053;2012; 137
110020;110011;2008; 136
140028;140010;2018; 136
140060;140050;2007; 136
150060;150815;2008; 136
150195;150550;2010; 136
510325;110012;2008; 136
110020;120060;2019; 135
130290;150375;2018; 135
160023;160030;2007; 135
140020;140010;2017; 134
140045;140010;2019; 134
160015;160005;2007; 133
160015;160053;2019; 133
120042;120033;2010; 132
120060;120020;2013; 132
140028;140030;2017; 132
150360;150805;2007; 132
120060;120020;2014; 131
130395;130430;2007; 131
140002;140010;2008; 131
150360;150805;2008; 131
160040;160060;2009; 131
160053;160060;2019; 131
130240;130070;2011; 130
130330;130014;2010; 130
150548;150810;2018; 130
160053;160060;2016; 130
120033;120020;2011; 129
130380;130260;2017; 129
150309;150795;2011; 129
160015;160030;2011; 129
160053;160060;2018; 129
110094;110002;2011; 128
130270;130170;2010; 128
150420;150750;2010; 128
160040;160060;2015; 128
110080;110020;2016; 127
150520;150140;2011; 127
160020;160030;2015; 127
160040;160060;2008; 127
110020;120040;2009; 126
110070;110002;2008; 126
160015;160030;2014; 126
160040;160030;2008; 126
160040;160060;2007; 126
110110;110002;2008; 125
130290;150375;2016; 125
150550;150495;2010; 125
110020;130170;2011; 124
130240;110020;2009; 124
130400;130190;2008; 124
130406;130060;2011; 124
140028;140010;2019; 124
150070;150180;2011; 124
130090;130240;2013; 123
130190;130260;2016; 123
160015;160053;2010; 123
110020;110012;2007; 122
130165;120020;2019; 122
150030;160030;2009; 122
150345;150812;2008; 122
150503;150360;2007; 122
150835;150060;2010; 122
160040;160060;2013; 122
130040;130260;2007; 121
110033;110010;2007; 120
110040;110045;2015; 120
140002;140010;2017; 120
160020;160030;2013; 120
120020;120042;2015; 119
120045;120040;2019; 119
130170;110020;2012; 119
130180;130165;2009; 119
130185;130250;2007; 119
140047;140010;2017; 119
150548;150506;2017; 119
160015;160030;2013; 119
160060;160030;2009; 119
110040;110002;2010; 118
510757;110012;2013; 118
110020;110033;2008; 117
110020;120040;2012; 117
130110;130260;2018; 117
130115;130260;2008; 117
140015;140010;2010; 117
150360;130290;2015; 117
110020;130170;2014; 116
120020;120040;2010; 116
150070;150180;2008; 116
130020;130406;2012; 115
130090;130170;2016; 115
130260;130320;2008; 115
150810;150178;2018; 115
110040;110002;2008; 114
130170;110020;2017; 114
150360;130290;2016; 114
210317;150550;2011; 114
110020;110012;2010; 113
110020;130260;2007; 113
120020;120040;2013; 113
130426;130420;2007; 113
140047;140010;2019; 113
150110;150180;2018; 113
150360;150503;2018; 113
150360;150619;2012; 113
150550;150345;2011; 113
160023;160030;2008; 113
160060;160030;2010; 113
130020;130406;2008; 112
130270;130170;2011; 112
140002;140010;2012; 112
160015;160030;2019; 112
510325;110012;2007; 112
110094;110002;2008; 111
110160;110011;2007; 111
130060;130406;2012; 111
130250;130083;2007; 111
150730;150808;2016; 111
160070;160030;2012; 111
110080;110012;2007; 110
130090;130170;2018; 110
130120;130260;2012; 110
130330;110020;2007; 110
130380;130260;2018; 110
150309;150178;2010; 110
150750;150420;2010; 110
120060;120020;2012; 109
150085;150060;2007; 109
160015;160053;2015; 109
110020;110012;2011; 108
110020;110033;2009; 108
110020;120040;2018; 108
110110;110002;2012; 108
130020;130060;2016; 108
130180;130165;2008; 108
150360;150619;2013; 108
150375;150360;2019; 108
160020;160030;2014; 108
120045;120040;2007; 107
130020;130060;2017; 107
130030;130260;2018; 107
130080;130014;2012; 107
150548;150810;2014; 107
150580;150548;2016; 107
140005;140010;2011; 106
150060;150815;2010; 106
150195;210317;2007; 106
150345;150812;2007; 106
150360;150503;2019; 106
110020;130260;2012; 105
110100;110070;2009; 105
120020;120042;2018; 105
130090;130170;2008; 105
130110;130260;2012; 105
130170;110002;2009; 105
130240;110020;2010; 105
130280;130420;2008; 105
150180;160030;2012; 105
150618;150380;2009; 105
150835;150060;2012; 105
160070;160030;2009; 105
130330;110002;2011; 104
150070;150030;2019; 104
150180;160030;2010; 104
150280;150140;2010; 104
150280;150180;2011; 104
110094;110012;2007; 103
130020;130406;2013; 103
130250;130260;2018; 103
130420;130260;2009; 103
150085;150060;2010; 103
150370;150420;2011; 103
150600;150680;2012; 103
110013;110002;2010; 102
110020;110010;2011; 102
110020;110033;2012; 102
120020;130165;2017; 102
130170;110020;2009; 102
130170;110020;2010; 102
130255;130260;2007; 102
150548;150178;2011; 102
150810;150178;2008; 102
110020;110011;2010; 101
110033;110045;2010; 101
110040;110002;2009; 101
110094;110002;2009; 101
120020;120033;2010; 101
150030;160030;2013; 101
150420;150750;2011; 101
150548;150085;2007; 101
150810;150178;2011; 101
160023;160053;2010; 101
160070;160030;2011; 101
120020;120040;2007; 100
130180;120020;2008; 100
140028;140010;2008; 100
150070;160030;2019; 100
150360;510642;2011; 100
150375;150360;2020; 100
150503;150060;2009; 100
160015;160053;2013; 100
130020;130060;2018;  99
130240;110020;2018;  99
150110;150180;2011;  99
150360;510642;2012;  99
150835;150060;2008;  99
160053;160060;2014;  99
510325;110012;2009;  99
110020;130260;2008;  98
130090;130240;2017;  98
130190;130260;2011;  98
130240;110020;2011;  98
130330;110002;2010;  98
140010;130260;2019;  98
150070;150140;2008;  98
150178;150309;2007;  98
110020;110011;2009;  97
150178;150810;2007;  97
150618;150380;2011;  97
150835;150060;2011;  97
510325;110013;2017;  97
110020;110012;2008;  96
110026;110002;2008;  96
110110;110002;2010;  96
120045;120040;2016;  96
110020;110002;2012;  95
110020;110015;2007;  95
140017;140010;2015;  95
150195;150550;2011;  95
150195;210317;2008;  95
160023;160053;2009;  95
160060;160030;2012;  95
130040;130320;2007;  94
140028;140030;2009;  94
