src;ano;casos;group
110014;2010;76;Total
110014;2011;19;Total
110014;2012;2;Total
110014;2013;5;Total
110014;2014;5;Total
110014;2015;1;Total
110014;2016;3;Total
110014;2017;3;Total
110015;2007;31;Total
110015;2008;31;Total
110015;2009;10;Total
110015;2010;11;Total
110015;2011;13;Total
110015;2012;21;Total
110015;2013;8;Total
110015;2014;8;Total
110015;2015;4;Total
110015;2016;22;Total
110015;2017;2;Total
110015;2018;4;Total
110015;2020;2;Total
110018;2007;18;Total
110018;2008;28;Total
110018;2009;132;Total
110018;2010;42;Total
110018;2011;17;Total
110018;2012;15;Total
110018;2013;6;Total
110018;2014;8;Total
110018;2015;2;Total
110018;2016;3;Total
110018;2017;4;Total
110018;2018;1;Total
110018;2020;2;Total
110020;2007;45977;Total
110020;2008;28742;Total
110020;2009;26031;Total
110020;2010;29854;Total
110020;2011;21122;Total
110020;2012;19849;Total
110020;2013;11552;Total
110020;2014;7652;Total
110020;2015;4182;Total
110020;2016;3442;Total
110020;2017;3284;Total
110020;2018;4154;Total
110020;2019;6503;Total
110020;2020;2581;Total
110025;2007;132;Total
110025;2008;29;Total
110025;2009;30;Total
110025;2010;57;Total
110025;2011;16;Total
110025;2012;3;Total
110025;2013;5;Total
110025;2014;3;Total
110025;2018;1;Total
110025;2019;2;Total
110026;2007;777;Total
110026;2008;933;Total
110026;2009;1224;Total
110026;2010;930;Total
110026;2011;227;Total
110026;2012;114;Total
110026;2013;96;Total
110026;2014;107;Total
110026;2015;20;Total
110026;2016;87;Total
110026;2017;50;Total
110026;2018;60;Total
110026;2019;30;Total
110026;2020;6;Total
110028;2007;18;Total
110028;2008;16;Total
110028;2009;12;Total
110028;2010;9;Total
110028;2011;8;Total
110028;2012;6;Total
110028;2013;7;Total
110028;2014;8;Total
110028;2016;4;Total
110028;2018;1;Total
110028;2019;2;Total
110028;2020;2;Total
110029;2007;10;Total
110029;2008;1;Total
110029;2009;1;Total
110029;2011;1;Total
110029;2012;2;Total
