src;ano;casos;group
211120;2009;13;Total
211120;2010;5;Total
211120;2011;6;Total
211120;2012;9;Total
211120;2013;1;Total
211125;2007;9;Total
211125;2008;6;Total
211125;2009;2;Total
211125;2010;8;Total
211125;2011;1;Total
211125;2014;1;Total
211125;2017;1;Total
211130;2007;61;Total
211130;2008;168;Total
211130;2009;61;Total
211130;2010;40;Total
211130;2011;19;Total
211130;2012;13;Total
211130;2013;3;Total
211130;2014;8;Total
211140;2007;8;Total
211140;2008;44;Total
211140;2009;3;Total
211140;2010;37;Total
211140;2011;1;Total
211140;2012;1;Total
211140;2013;6;Total
211140;2014;2;Total
211150;2007;24;Total
211150;2008;21;Total
211150;2009;156;Total
211150;2010;44;Total
211150;2011;3;Total
211150;2013;14;Total
211150;2014;1;Total
211150;2017;1;Total
211153;2007;1;Total
211153;2008;24;Total
211153;2010;2;Total
211153;2011;3;Total
211153;2013;1;Total
211153;2014;1;Total
211160;2013;1;Total
211163;2012;1;Total
211163;2018;2;Total
211167;2009;1;Total
211167;2013;1;Total
211167;2015;2;Total
211167;2016;1;Total
211167;2018;1;Total
211170;2014;1;Total
211172;2011;5;Total
211172;2012;1;Total
211176;2008;148;Total
211176;2009;40;Total
211176;2011;7;Total
211178;2007;1;Total
211178;2010;2;Total
211190;2007;2;Total
211190;2009;2;Total
211190;2010;1;Total
211190;2011;2;Total
211190;2012;1;Total
211190;2015;1;Total
211210;2007;23;Total
211210;2008;18;Total
211210;2011;4;Total
211210;2013;1;Total
211223;2012;1;Total
211223;2014;1;Total
211227;2007;18;Total
211227;2008;1;Total
211227;2009;7;Total
211227;2010;6;Total
211227;2011;4;Total
211227;2012;2;Total
211230;2007;1;Total
211230;2013;1;Total
211230;2015;1;Total
211240;2007;159;Total
211240;2008;21;Total
211240;2009;418;Total
211240;2010;132;Total
211240;2011;126;Total
211240;2012;267;Total
211240;2013;71;Total
211240;2014;3;Total
211240;2015;10;Total
211240;2016;8;Total
211240;2017;15;Total
211245;2007;25;Total
211245;2008;45;Total
211245;2009;69;Total
211245;2010;79;Total
211245;2011;84;Total
211245;2012;70;Total
211245;2013;89;Total
211245;2014;40;Total
211245;2015;16;Total
211245;2016;12;Total
211245;2017;30;Total
211245;2018;7;Total
211245;2019;1;Total
211250;2007;5;Total
211250;2008;3;Total
211250;2009;1;Total
211250;2010;16;Total
211250;2011;4;Total
211260;2007;5;Total
211260;2008;2;Total
211260;2010;1;Total
211270;2007;93;Total
211270;2008;14;Total
211270;2010;1;Total
211270;2014;1;Total
211280;2007;2;Total
211280;2008;2;Total
211280;2012;1;Total
211285;2007;2;Total
211285;2008;4;Total
211285;2009;1;Total
211285;2010;17;Total
211290;2007;3;Total
211290;2010;3;Total
211290;2011;31;Total
211290;2012;1;Total
211300;2007;8;Total
211300;2009;1;Total
211300;2010;2;Total
211300;2011;1;Total
211300;2012;2;Total
211300;2014;2;Total
211300;2018;1;Total
211300;2019;1;Total
211400;2007;18;Total
211400;2008;7;Total
211400;2009;21;Total
211400;2010;297;Total
211400;2011;85;Total
211400;2012;13;Total
211400;2013;2;Total
211400;2014;5;Total
211400;2015;1;Total
211400;2017;103;Total
211400;2018;70;Total
211400;2019;4;Total
220120;2010;1;Total
220390;2012;1;Total
220580;2008;7;Total
220770;2010;1;Total
221100;2008;1;Total
221100;2010;1;Total
221120;2011;1;Total
230440;2007;2;Total
230440;2008;1;Total
230440;2010;1;Total
230440;2011;1;Total
230440;2015;1;Total
231040;2013;1;Total
231380;2019;1;Total
231410;2008;2;Total
231410;2011;1;Total
240310;2010;1;Total
240460;2011;1;Total
240810;2010;1;Total
240810;2011;1;Total
240810;2013;1;Total
240860;2009;1;Total
241025;2014;1;Total
241340;2012;1;Total
250190;2008;1;Total
250720;2014;1;Total
250750;2007;1;Total
251040;2014;1;Total
251390;2007;1;Total
251398;2019;1;Total
261070;2011;1;Total
261110;2015;1;Total
261160;2007;1;Total
261160;2008;1;Total
261160;2013;1;Total
261220;2019;1;Total
290320;2007;1;Total
291360;2009;1;Total
291535;2018;1;Total
292170;2010;1;Total
310620;2007;2;Total
311550;2009;1;Total
311910;2009;1;Total
311930;2010;1;Total
312600;2008;1;Total
312870;2018;1;Total
313030;2017;1;Total
313440;2007;1;Total
313470;2008;1;Total
314020;2008;1;Total
314180;2013;1;Total
314320;2008;1;Total
314530;2011;1;Total
314560;2013;1;Total
314710;2020;1;Total
315620;2007;1;Total
316210;2015;1;Total
316900;2014;1;Total
317020;2011;1;Total
320130;2009;1;Total
320150;2008;1;Total
320305;2008;1;Total
320320;2008;1;Total
350950;2009;1;Total
351880;2019;1;Total
352040;2008;1;Total
352230;2012;1;Total
353350;2009;1;Total
353730;2015;1;Total
354170;2011;1;Total
355030;2008;1;Total
355030;2010;1;Total
355030;2011;1;Total
355030;2013;1;Total
355030;2014;1;Total
355030;2017;1;Total
410045;2008;1;Total
410045;2014;1;Total
410060;2008;1;Total
410090;2008;1;Total
410240;2012;1;Total
410280;2010;1;Total
410280;2018;1;Total
410450;2007;1;Total
410690;2010;1;Total
410690;2011;1;Total
410690;2014;1;Total
410690;2016;1;Total
410830;2019;1;Total
411180;2007;1;Total
411180;2011;1;Total
411330;2009;1;Total
411610;2014;1;Total
411729;2010;1;Total
411810;2012;1;Total
412770;2013;1;Total
420420;2007;1;Total
420420;2009;1;Total
420540;2007;1;Total
420845;2012;1;Total
420900;2011;1;Total
420970;2014;1;Total
421040;2011;1;Total
421210;2009;1;Total
421620;2010;1;Total
421715;2010;1;Total
431113;2017;1;Total
431170;2010;1;Total
431490;2013;1;Total
431560;2007;1;Total
500230;2012;1;Total
500240;2012;1;Total
500270;2007;3;Total
500270;2009;1;Total
500270;2010;1;Total
500270;2012;2;Total
500270;2018;1;Total
500295;2009;2;Total
500295;2014;1;Total
500320;2012;1;Total
500320;2020;1;Total
500330;2012;1;Total
500430;2007;1;Total
500490;2009;1;Total
500568;2010;1;Total
500570;2007;1;Total
500740;2007;1;Total
500740;2010;2;Total
500740;2011;1;Total
500740;2019;1;Total
500769;2013;1;Total
500793;2010;1;Total
500797;2017;2;Total
500797;2018;1;Total
500797;2019;1;Total
500830;2007;1;Total
500830;2012;1;Total
510010;2008;3;Total
510010;2009;1;Total
510010;2010;4;Total
510020;2010;30;Total
510020;2011;26;Total
510020;2012;2;Total
510020;2013;1;Total
510020;2014;2;Total
510025;2007;8;Total
510025;2008;7;Total
510025;2009;3;Total
510025;2010;10;Total
510025;2011;9;Total
510025;2012;5;Total
510025;2013;16;Total
510025;2014;4;Total
510025;2015;5;Total
510025;2019;2;Total
510025;2020;2;Total
510030;2008;1;Total
510030;2015;1;Total
510035;2010;1;Total
510050;2012;1;Total
510060;2014;1;Total
510060;2015;1;Total
510080;2007;88;Total
510080;2008;13;Total
510080;2009;26;Total
510080;2010;42;Total
510080;2011;134;Total
510080;2012;34;Total
510080;2013;22;Total
510080;2014;5;Total
510080;2015;1;Total
510080;2017;1;Total
510080;2018;2;Total
510080;2019;6;Total
510080;2020;7;Total
510100;2018;1;Total
510130;2011;1;Total
510140;2007;961;Total
510140;2008;560;Total
510140;2009;439;Total
510140;2010;263;Total
510140;2011;214;Total
510140;2012;113;Total
510140;2013;51;Total
510140;2014;29;Total
510140;2015;8;Total
510140;2016;30;Total
510140;2017;113;Total
510140;2018;235;Total
510140;2019;1026;Total
510140;2020;360;Total
510170;2007;5;Total
510170;2008;2;Total
510170;2009;1;Total
510170;2010;1;Total
510170;2011;1;Total
510170;2013;1;Total
510170;2017;1;Total
510170;2019;1;Total
510180;2019;1;Total
510185;2008;1;Total
510185;2010;2;Total
510190;2007;280;Total
510190;2008;70;Total
510190;2009;20;Total
510190;2010;12;Total
510190;2011;16;Total
510190;2012;9;Total
510190;2013;5;Total
510190;2014;1;Total
510190;2016;1;Total
510190;2017;1;Total
510190;2019;1;Total
510190;2020;1;Total
510250;2007;8;Total
510250;2008;3;Total
510250;2009;2;Total
510250;2010;2;Total
510250;2011;2;Total
510250;2012;1;Total
510250;2017;1;Total
510260;2009;1;Total
510260;2010;3;Total
510263;2007;5;Total
510263;2008;3;Total
510263;2009;4;Total
510263;2010;1;Total
510263;2011;1;Total
510263;2012;1;Total
510263;2013;2;Total
510263;2014;1;Total
510263;2015;1;Total
510267;2014;1;Total
510268;2007;1;Total
510268;2008;1;Total
510268;2009;27;Total
510268;2010;10;Total
510268;2012;2;Total
510268;2013;1;Total
510268;2019;2;Total
510269;2010;1;Total
510270;2019;1;Total
510279;2010;2;Total
510279;2019;1;Total
510285;2007;15;Total
510285;2008;23;Total
510285;2009;4;Total
510285;2010;1;Total
510285;2011;4;Total
510285;2012;1;Total
510300;2007;1;Total
510300;2009;1;Total
510300;2010;1;Total
510300;2012;2;Total
510300;2013;1;Total
510305;2007;5;Total
510305;2009;1;Total
510305;2010;1;Total
510305;2012;1;Total
510310;2008;1;Total
510310;2015;2;Total
510310;2016;2;Total
510310;2019;1;Total
510320;2008;1;Total
510320;2009;1;Total
510320;2010;1;Total
510320;2011;6;Total
510320;2012;8;Total
510320;2013;2;Total
510320;2016;1;Total
510325;2007;6883;Total
510325;2008;3311;Total
510325;2009;2640;Total
510325;2010;1525;Total
510325;2011;1341;Total
510325;2012;903;Total
510325;2013;984;Total
510325;2014;1070;Total
510325;2015;1502;Total
510325;2016;683;Total
510325;2017;596;Total
510325;2018;985;Total
510325;2019;1846;Total
510325;2020;579;Total
510330;2007;17;Total
510330;2008;7;Total
510330;2009;187;Total
510330;2010;30;Total
510330;2011;6;Total
510330;2012;3;Total
510330;2013;2;Total
510330;2014;2;Total
510330;2018;63;Total
510330;2019;49;Total
510330;2020;5;Total
510335;2007;1;Total
510335;2009;2;Total
510335;2010;2;Total
510335;2012;1;Total
510336;2008;1;Total
510336;2009;4;Total
510336;2010;4;Total
510337;2007;7;Total
510337;2008;9;Total
510337;2009;1;Total
510337;2010;3;Total
510337;2011;1;Total
510337;2013;2;Total
510337;2014;1;Total
510337;2015;1;Total
510337;2016;1;Total
510337;2017;1;Total
510337;2020;1;Total
510340;2007;20;Total
510340;2008;16;Total
510340;2009;11;Total
510340;2010;14;Total
510340;2011;9;Total
510340;2012;10;Total
510340;2013;3;Total
510340;2014;9;Total
510340;2015;3;Total
510340;2017;5;Total
510340;2018;2;Total
510340;2019;1;Total
510340;2020;1;Total
510350;2009;1;Total
510350;2014;1;Total
510350;2020;1;Total
510360;2015;1;Total
510370;2007;58;Total
510370;2008;7;Total
510370;2009;8;Total
510370;2010;5;Total
510370;2011;2;Total
510370;2015;1;Total
510370;2017;1;Total
510385;2007;11;Total
510385;2008;1;Total
510385;2009;2;Total
510390;2008;1;Total
510390;2009;2;Total
510395;2008;1;Total
510410;2007;13;Total
510410;2008;8;Total
510410;2009;38;Total
510410;2010;7;Total
510410;2011;6;Total
510410;2012;5;Total
510410;2013;4;Total
510410;2014;2;Total
510410;2015;4;Total
510410;2016;1;Total
510410;2017;1;Total
510410;2019;2;Total
510410;2020;2;Total
510420;2007;1;Total
510420;2009;1;Total
510420;2011;1;Total
510420;2014;3;Total
510420;2015;1;Total
510420;2016;1;Total
510420;2017;1;Total
510420;2018;2;Total
510452;2017;1;Total
510454;2007;1;Total
510454;2010;1;Total
510454;2011;2;Total
510455;2007;12;Total
510455;2012;2;Total
510455;2014;4;Total
510455;2015;2;Total
510460;2009;1;Total
510490;2015;1;Total
510500;2007;1;Total
510500;2009;1;Total
510510;2007;186;Total
510510;2008;22;Total
510510;2009;7;Total
510510;2010;3;Total
510510;2011;4;Total
510510;2012;9;Total
510510;2018;1;Total
510510;2019;2;Total
510515;2007;363;Total
510515;2008;135;Total
510515;2009;275;Total
510515;2010;29;Total
510515;2011;18;Total
510515;2012;4;Total
510515;2014;4;Total
510515;2015;4;Total
510515;2016;1;Total
510515;2018;23;Total
510515;2019;10;Total
510515;2020;30;Total
510517;2007;17;Total
510517;2008;26;Total
510517;2009;5;Total
510517;2010;7;Total
510517;2011;6;Total
510517;2015;2;Total
510517;2016;3;Total
510517;2018;1;Total
510520;2007;1;Total
510520;2011;1;Total
510523;2019;1;Total
510523;2020;1;Total
510525;2007;104;Total
510525;2008;69;Total
510525;2009;1;Total
510525;2010;154;Total
510525;2011;4;Total
510525;2013;1;Total
510525;2016;1;Total
510550;2007;3;Total
510550;2008;1;Total
510550;2009;4;Total
510550;2010;5;Total
510550;2020;1;Total
510558;2007;52;Total
510558;2008;2;Total
510558;2009;3;Total
510558;2010;1;Total
510558;2012;2;Total
510558;2013;1;Total
510560;2007;2;Total
510560;2008;1;Total
510560;2010;5;Total
510560;2011;4;Total
510560;2012;1;Total
510560;2013;4;Total
510560;2015;2;Total
510560;2017;7;Total
510560;2018;1;Total
510560;2019;7;Total
510560;2020;4;Total
510562;2009;1;Total
510562;2010;1;Total
510562;2011;2;Total
510562;2018;1;Total
510590;2009;2;Total
510590;2012;1;Total
510590;2013;1;Total
510600;2007;1;Total
510615;2007;11;Total
510615;2008;7;Total
510615;2009;2;Total
510615;2010;56;Total
510615;2011;114;Total
510615;2012;17;Total
510615;2013;186;Total
510615;2014;84;Total
510615;2015;117;Total
510615;2016;75;Total
510615;2017;10;Total
510615;2018;2;Total
510615;2019;2;Total
510615;2020;1;Total
510617;2008;1;Total
510617;2017;1;Total
510617;2019;1;Total
510618;2007;10;Total
510618;2008;2;Total
510618;2009;20;Total
510618;2010;47;Total
510618;2011;6;Total
510618;2012;5;Total
510618;2018;2;Total
510619;2009;2;Total
510619;2010;1;Total
510620;2008;1;Total
510621;2009;1;Total
510621;2010;1;Total
510621;2013;1;Total
510622;2007;4;Total
510622;2010;6;Total
510622;2011;2;Total
510622;2012;2;Total
510622;2019;1;Total
510623;2007;1;Total
510623;2009;1;Total
510623;2012;4;Total
510624;2007;128;Total
510624;2008;4;Total
510624;2012;1;Total
510625;2014;1;Total
510626;2008;3;Total
510626;2009;1;Total
510626;2011;4;Total
510626;2012;2;Total
510626;2013;23;Total
510626;2014;5;Total
510626;2015;3;Total
510626;2017;1;Total
510626;2018;1;Total
510626;2019;1;Total
510626;2020;7;Total
510627;2007;1;Total
510627;2008;2;Total
510627;2009;1;Total
510628;2019;1;Total
510629;2007;18;Total
510629;2008;2;Total
510629;2010;3;Total
510629;2011;6;Total
510629;2012;2;Total
510629;2013;5;Total
510629;2014;2;Total
510629;2015;1;Total
510629;2019;1;Total
510629;2020;1;Total
510630;2007;1;Total
510630;2009;1;Total
510630;2016;1;Total
510630;2018;2;Total
510637;2012;1;Total
510642;2007;8;Total
510642;2008;5;Total
510642;2009;10;Total
510642;2010;25;Total
510642;2011;7;Total
510642;2012;21;Total
510642;2013;23;Total
510642;2014;6;Total
510642;2015;1;Total
510642;2016;4;Total
510642;2019;9;Total
510642;2020;1;Total
510650;2010;2;Total
510650;2011;5;Total
510650;2012;2;Total
510650;2013;2;Total
510665;2007;1;Total
510665;2010;1;Total
510670;2016;1;Total
510675;2007;6;Total
510675;2008;4;Total
510675;2009;1;Total
510675;2010;2;Total
510675;2011;1;Total
510675;2015;2;Total
510675;2016;5;Total
510675;2017;6;Total
510675;2019;3;Total
510675;2020;15;Total
510677;2018;1;Total
510680;2007;1;Total
510680;2010;1;Total
510682;2010;1;Total
510704;2008;1;Total
510704;2013;1;Total
510706;2007;8;Total
510706;2008;2;Total
510706;2009;2;Total
510706;2010;1;Total
510706;2011;8;Total
510706;2013;1;Total
510706;2014;3;Total
510710;2018;1;Total
510715;2008;1;Total
510718;2010;8;Total
510718;2011;3;Total
510719;2009;7;Total
510719;2011;1;Total
510719;2014;1;Total
510724;2007;2;Total
510724;2010;1;Total
510726;2010;2;Total
510726;2011;1;Total
510729;2008;1;Total
510730;2007;18;Total
510730;2008;21;Total
510730;2009;1;Total
510730;2010;1;Total
510730;2015;1;Total
510735;2011;1;Total
510735;2013;6;Total
510735;2015;1;Total
510735;2018;1;Total
510735;2019;1;Total
510757;2007;623;Total
510757;2008;181;Total
510757;2009;58;Total
510757;2010;31;Total
510757;2011;38;Total
510757;2012;39;Total
510757;2013;126;Total
510757;2014;32;Total
510757;2015;11;Total
510757;2016;4;Total
510757;2017;5;Total
510757;2018;1;Total
510757;2019;3;Total
510757;2020;6;Total
510760;2007;1;Total
510760;2011;9;Total
510760;2012;2;Total
510760;2014;1;Total
510760;2015;1;Total
510760;2017;1;Total
510760;2018;2;Total
510760;2019;4;Total
510770;2013;1;Total
510774;2007;1;Total
510774;2010;1;Total
510775;2009;1;Total
510776;2007;1;Total
510777;2008;1;Total
510779;2007;1;Total
510779;2012;1;Total
510780;2007;6;Total
510780;2013;1;Total
510785;2007;1;Total
510785;2009;1;Total
510785;2010;2;Total
510785;2015;1;Total
510787;2007;2;Total
510787;2008;2;Total
510787;2009;86;Total
510787;2010;15;Total
510787;2011;3;Total
510787;2012;3;Total
510787;2013;1;Total
510787;2015;2;Total
510788;2007;2;Total
510788;2018;1;Total
510790;2007;132;Total
510790;2008;30;Total
510790;2009;12;Total
510790;2010;136;Total
510790;2011;39;Total
510790;2012;217;Total
510790;2013;45;Total
510790;2015;2;Total
510790;2017;2;Total
510790;2018;2;Total
510790;2019;5;Total
510792;2007;13;Total
510792;2008;12;Total
510792;2009;1;Total
510792;2010;6;Total
510792;2011;3;Total
510792;2012;1;Total
510792;2016;1;Total
510794;2007;1;Total
510794;2008;1;Total
510794;2019;1;Total
510795;2008;2;Total
510795;2009;2;Total
510795;2010;1;Total
510795;2011;1;Total
510795;2012;1;Total
510795;2014;1;Total
510800;2007;3;Total
510800;2009;1;Total
510800;2010;2;Total
510800;2019;1;Total
510805;2007;1;Total
510805;2008;1;Total
510805;2009;2;Total
510805;2011;4;Total
510805;2012;1;Total
510805;2013;4;Total
510805;2015;1;Total
510810;2019;1;Total
510820;2009;2;Total
510820;2011;1;Total
510830;2007;4;Total
510830;2011;1;Total
510830;2014;1;Total
510835;2007;1;Total
510835;2010;1;Total
510840;2007;1;Total
510840;2008;7;Total
510840;2009;1;Total
510840;2011;4;Total
510850;2007;6;Total
510850;2008;1;Total
510850;2011;1;Total
510860;2007;1;Total
510860;2008;2;Total
510860;2016;1;Total
510880;2008;2;Total
510880;2009;1;Total
510880;2010;1;Total
510880;2011;29;Total
510880;2012;6;Total
510880;2013;5;Total
510880;2014;9;Total
510880;2015;3;Total
510880;2017;1;Total
510880;2019;2;Total
510880;2020;3;Total
510885;2009;1;Total
510890;2007;7;Total
510890;2008;5;Total
510890;2009;4;Total
510890;2010;2;Total
510890;2013;1;Total
510895;2007;1;Total
510895;2008;1;Total
510895;2017;1;Total
520005;2012;1;Total
520110;2012;1;Total
520110;2013;1;Total
520140;2012;1;Total
520180;2008;1;Total
520350;2008;1;Total
520430;2011;1;Total
520450;2010;3;Total
520830;2008;1;Total
520840;2011;1;Total
520860;2009;1;Total
520860;2010;5;Total
520860;2011;1;Total
520870;2007;2;Total
520870;2010;4;Total
520870;2011;3;Total
520870;2012;3;Total
520870;2014;2;Total
520870;2018;1;Total
520890;2007;1;Total
520890;2009;1;Total
520890;2016;1;Total
521020;2008;1;Total
522140;2007;1;Total
530010;2009;1;Total
530010;2011;1;Total
539912;2018;1;Total
110001;2007;251;Autóctone
110001;2007;44;Importado
110001;2008;258;Autóctone
110001;2008;17;Importado
110001;2009;83;Autóctone
110001;2009;13;Importado
110001;2010;33;Autóctone
110001;2010;9;Importado
110001;2011;11;Autóctone
110001;2011;7;Importado
110001;2012;32;Autóctone
110001;2012;7;Importado
110001;2013;77;Autóctone
110001;2013;12;Importado
110001;2014;95;Autóctone
110001;2014;11;Importado
110001;2015;37;Autóctone
110001;2015;1;Importado
110001;2016;6;Autóctone
110001;2016;1;Importado
110001;2017;1;Autóctone
110001;2017;1;Importado
110001;2018;2;Importado
110001;2020;1;Importado
110002;2007;2162;Autóctone
110002;2007;682;Importado
110002;2008;1240;Autóctone
110002;2008;475;Importado
110002;2009;1056;Autóctone
110002;2009;450;Importado
110002;2010;1272;Autóctone
110002;2010;503;Importado
110002;2011;496;Autóctone
110002;2011;172;Importado
110002;2012;149;Autóctone
110002;2012;114;Importado
110002;2013;112;Autóctone
110002;2013;101;Importado
110002;2014;80;Autóctone
110002;2014;24;Importado
110002;2015;42;Autóctone
110002;2015;20;Importado
110002;2016;117;Autóctone
110002;2016;26;Importado
110002;2017;117;Autóctone
110002;2017;30;Importado
110002;2018;888;Autóctone
110002;2018;52;Importado
110002;2019;393;Autóctone
110002;2019;40;Importado
110002;2020;143;Autóctone
110002;2020;7;Importado
110003;2007;5;Autóctone
110003;2007;7;Importado
110003;2009;2;Importado
110003;2010;2;Autóctone
110003;2010;4;Importado
110003;2011;1;Importado
110003;2013;2;Importado
110003;2016;4;Autóctone
110003;2016;2;Importado
110003;2017;1;Autóctone
110003;2017;1;Importado
110003;2018;2;Importado
110003;2019;1;Importado
110004;2007;28;Autóctone
110004;2007;18;Importado
110004;2008;10;Autóctone
110004;2008;22;Importado
110004;2009;6;Autóctone
110004;2009;20;Importado
110004;2010;3;Autóctone
110004;2010;22;Importado
110004;2011;4;Autóctone
110004;2011;10;Importado
110004;2012;5;Autóctone
110004;2012;11;Importado
110004;2013;6;Importado
110004;2014;3;Autóctone
110004;2014;1;Importado
110004;2015;1;Importado
110004;2016;2;Importado
110004;2017;5;Importado
110004;2019;1;Importado
110004;2020;2;Autóctone
110004;2020;3;Importado
110005;2007;3;Autóctone
110005;2007;5;Importado
110005;2008;1;Autóctone
110005;2008;3;Importado
110005;2010;2;Importado
110005;2011;1;Importado
110005;2012;1;Importado
110005;2013;1;Autóctone
110006;2007;1;Autóctone
110006;2007;6;Importado
110006;2008;3;Importado
110006;2010;2;Importado
110006;2011;1;Importado
110006;2012;1;Importado
110006;2013;1;Importado
110006;2015;1;Importado
110006;2017;1;Autóctone
110006;2018;1;Autóctone
110007;2007;1;Autóctone
110007;2007;3;Importado
110007;2008;3;Importado
110007;2009;2;Importado
110007;2010;4;Importado
110007;2011;1;Importado
110007;2012;1;Importado
110007;2018;2;Autóctone
110008;2007;494;Autóctone
110008;2007;69;Importado
110008;2008;281;Autóctone
110008;2008;28;Importado
110008;2009;225;Autóctone
110008;2009;19;Importado
110008;2010;403;Autóctone
110008;2010;32;Importado
110008;2011;184;Autóctone
110008;2011;17;Importado
110008;2012;218;Autóctone
110008;2012;20;Importado
110008;2013;114;Autóctone
110008;2013;13;Importado
110008;2014;29;Autóctone
110008;2014;18;Importado
110008;2015;54;Autóctone
110008;2015;8;Importado
110008;2016;89;Autóctone
110008;2016;12;Importado
110008;2017;11;Autóctone
110008;2017;5;Importado
110008;2018;11;Autóctone
110008;2018;2;Importado
110008;2019;112;Autóctone
110008;2019;8;Importado
110008;2020;159;Autóctone
110008;2020;5;Importado
110009;2007;24;Autóctone
110009;2007;34;Importado
110009;2008;209;Autóctone
110009;2008;703;Importado
110009;2009;278;Autóctone
110009;2009;877;Importado
110009;2010;370;Autóctone
110009;2010;698;Importado
110009;2011;2;Autóctone
110009;2011;19;Importado
110009;2012;8;Autóctone
110009;2012;9;Importado
110009;2013;2;Importado
110009;2014;1;Autóctone
110009;2014;1;Importado
110009;2015;2;Autóctone
110009;2015;2;Importado
110009;2019;236;Autóctone
110009;2019;106;Importado
110009;2020;167;Autóctone
110009;2020;70;Importado
110010;2007;3012;Autóctone
110010;2007;318;Importado
110010;2008;1207;Autóctone
110010;2008;96;Importado
110010;2009;704;Autóctone
110010;2009;87;Importado
110010;2010;1688;Autóctone
110010;2010;189;Importado
110010;2011;869;Autóctone
110010;2011;111;Importado
110010;2012;649;Autóctone
110010;2012;70;Importado
110010;2013;541;Autóctone
110010;2013;38;Importado
110010;2014;364;Autóctone
110010;2014;22;Importado
110010;2015;570;Autóctone
110010;2015;12;Importado
110010;2016;340;Autóctone
110010;2016;18;Importado
110010;2017;357;Autóctone
110010;2017;10;Importado
110010;2018;346;Autóctone
110010;2018;14;Importado
110010;2019;546;Autóctone
110010;2019;12;Importado
110010;2020;311;Autóctone
110010;2020;7;Importado
110011;2007;70;Autóctone
110011;2007;76;Importado
110011;2008;46;Autóctone
110011;2008;35;Importado
110011;2009;23;Autóctone
110011;2009;39;Importado
110011;2010;13;Autóctone
110011;2010;26;Importado
110011;2011;7;Autóctone
110011;2011;27;Importado
110011;2012;2;Autóctone
110011;2012;22;Importado
110011;2013;21;Importado
110011;2014;1;Autóctone
110011;2014;5;Importado
110011;2015;2;Autóctone
110011;2015;2;Importado
110011;2016;1;Autóctone
110011;2016;5;Importado
110011;2017;1;Autóctone
110011;2017;5;Importado
110011;2018;2;Importado
110011;2019;1;Autóctone
110012;2007;40;Autóctone
110012;2007;55;Importado
110012;2008;20;Autóctone
110012;2008;43;Importado
110012;2009;12;Autóctone
110012;2009;38;Importado
110012;2010;29;Autóctone
110012;2010;81;Importado
110012;2011;25;Autóctone
110012;2011;51;Importado
110012;2012;10;Autóctone
110012;2012;30;Importado
110012;2013;2;Autóctone
110012;2013;21;Importado
110012;2014;2;Autóctone
110012;2014;4;Importado
110012;2015;2;Autóctone
110012;2015;2;Importado
110012;2016;2;Autóctone
110012;2016;4;Importado
110012;2017;1;Autóctone
110012;2017;2;Importado
110012;2018;3;Autóctone
110012;2018;7;Importado
110012;2019;8;Autóctone
110012;2019;2;Importado
110012;2020;1;Autóctone
110013;2007;6076;Autóctone
110013;2007;708;Importado
110013;2008;3319;Autóctone
110013;2008;424;Importado
110013;2009;3336;Autóctone
110013;2009;489;Importado
110013;2010;3159;Autóctone
110013;2010;581;Importado
110013;2011;2396;Autóctone
110013;2011;409;Importado
110013;2012;1346;Autóctone
110013;2012;401;Importado
110013;2013;665;Autóctone
110013;2013;247;Importado
110013;2014;330;Autóctone
110013;2014;95;Importado
110013;2015;671;Autóctone
110013;2015;221;Importado
110013;2016;1372;Autóctone
110013;2016;341;Importado
110013;2017;812;Autóctone
110013;2017;204;Importado
110013;2018;315;Autóctone
110013;2018;107;Importado
110013;2019;420;Autóctone
110013;2019;62;Importado
110013;2020;149;Autóctone
110013;2020;41;Importado
110014;2007;56;Autóctone
110014;2007;112;Importado
110014;2008;14;Autóctone
110014;2008;14;Importado
110014;2009;25;Autóctone
110014;2009;42;Importado
110014;2010;33;Autóctone
110014;2010;43;Importado
110014;2011;9;Autóctone
110014;2011;10;Importado
110014;2012;2;Importado
110014;2013;5;Importado
110014;2014;5;Importado
110014;2015;1;Importado
110014;2016;2;Autóctone
110014;2016;1;Importado
110014;2017;3;Autóctone
110015;2007;8;Autóctone
110015;2007;23;Importado
110015;2008;11;Autóctone
110015;2008;20;Importado
110015;2009;3;Autóctone
110015;2009;7;Importado
110015;2010;1;Autóctone
110015;2010;10;Importado
110015;2011;2;Autóctone
110015;2011;11;Importado
110015;2012;21;Importado
110015;2013;8;Importado
110015;2014;2;Autóctone
110015;2014;6;Importado
110015;2015;4;Autóctone
110015;2016;9;Autóctone
110015;2016;13;Importado
110015;2017;2;Importado
110015;2018;4;Importado
110015;2020;2;Importado
110018;2007;5;Autóctone
110018;2007;13;Importado
110018;2008;1;Autóctone
110018;2008;27;Importado
110018;2009;56;Autóctone
110018;2009;76;Importado
110018;2010;16;Autóctone
110018;2010;26;Importado
110018;2011;7;Autóctone
110018;2011;10;Importado
110018;2012;2;Autóctone
110018;2012;13;Importado
110018;2013;3;Autóctone
110018;2013;3;Importado
110018;2014;6;Autóctone
110018;2014;2;Importado
110018;2015;2;Autóctone
110018;2016;1;Autóctone
110018;2016;2;Importado
110018;2017;1;Autóctone
110018;2017;3;Importado
110018;2018;1;Importado
110018;2020;2;Autóctone
110020;2007;38104;Autóctone
110020;2007;7873;Importado
110020;2008;25442;Autóctone
110020;2008;3300;Importado
110020;2009;23601;Autóctone
110020;2009;2430;Importado
110020;2010;26808;Autóctone
