mun;ano;mes;group;n;p
110001;2015;fev;Autóctone;9;0,818181818181818232
110001;2015;fev;NA;2;0,181818181818181823
110001;2015;mar;Autóctone;5;0,833333333333333370
110001;2015;mar;Importado;1;0,166666666666666657
110001;2015;abr;Autóctone;1;1,000000000000000000
110001;2015;mai;Autóctone;1;0,333333333333333315
110001;2015;mai;NA;2;0,666666666666666630
110001;2015;jun;Autóctone;3;0,500000000000000000
110001;2015;jun;NA;3;0,500000000000000000
110001;2015;jul;Autóctone;4;0,571428571428571397
110001;2015;jul;NA;3;0,428571428571428548
110001;2015;ago;Autóctone;1;1,000000000000000000
110001;2015;set;Autóctone;7;1,000000000000000000
110001;2015;out;Autóctone;2;1,000000000000000000
110001;2015;nov;Autóctone;2;1,000000000000000000
110001;2016;mar;Autóctone;1;0,333333333333333315
110001;2016;mar;NA;2;0,666666666666666630
110001;2016;jun;Importado;2;1,000000000000000000
110001;2016;jul;Autóctone;2;0,666666666666666630
110001;2016;jul;Importado;1;0,333333333333333315
110001;2016;set;Importado;2;0,500000000000000000
110001;2016;set;NA;2;0,500000000000000000
110001;2016;nov;Autóctone;3;0,599999999999999978
110001;2016;nov;Importado;2;0,400000000000000022
110001;2017;fev;Importado;1;0,333333333333333315
110001;2017;fev;NA;2;0,666666666666666630
110001;2017;mar;Importado;1;1,000000000000000000
110001;2017;mai;Autóctone;1;0,500000000000000000
110001;2017;mai;NA;1;0,500000000000000000
110001;2017;jun;Importado;1;1,000000000000000000
110001;2017;jul;Importado;1;0,500000000000000000
110001;2017;jul;NA;1;0,500000000000000000
110001;2017;nov;Importado;2;1,000000000000000000
110001;2018;mar;Importado;1;1,000000000000000000
110001;2019;ago;Importado;1;1,000000000000000000
110001;2019;dez;Importado;1;1,000000000000000000
110001;2020;jan;Importado;4;1,000000000000000000
110001;2020;fev;Importado;1;1,000000000000000000
110002;2007;jan;Autóctone;281;0,336930455635491621
110002;2007;jan;Importado;552;0,661870503597122295
110002;2007;jan;NA;1;0,001199040767386091
110002;2007;fev;Autóctone;245;0,435168738898756680
110002;2007;fev;Importado;318;0,564831261101243376
110002;2007;mar;Autóctone;223;0,433009708737864096
110002;2007;mar;Importado;291;0,565048543689320337
110002;2007;mar;NA;1;0,001941747572815534
110002;2007;abr;Autóctone;198;0,431372549019607865
110002;2007;abr;Importado;261;0,568627450980392135
110002;2007;mai;Autóctone;162;0,363228699551569501
110002;2007;mai;Importado;284;0,636771300448430444
110002;2007;jun;Autóctone;162;0,367346938775510223
110002;2007;jun;Importado;279;0,632653061224489832
110002;2007;jul;Autóctone;154;0,329764453961456094
110002;2007;jul;Importado;313;0,670235546038543850
110002;2007;ago;Autóctone;156;0,313253012048192780
110002;2007;ago;Importado;342;0,686746987951807220
110002;2007;set;Autóctone;135;0,339195979899497513
110002;2007;set;Importado;263;0,660804020100502543
110002;2007;out;Autóctone;185;0,386221294363256806
110002;2007;out;Importado;294;0,613778705636743194
110002;2007;nov;Autóctone;148;0,405479452054794520
110002;2007;nov;Importado;217;0,594520547945205480
110002;2007;dez;Autóctone;113;0,354231974921630111
110002;2007;dez;Importado;206;0,645768025078369945
110002;2008;jan;Autóctone;114;0,345454545454545459
110002;2008;jan;Importado;216;0,654545454545454541
110002;2008;fev;Autóctone;59;0,232283464566929138
110002;2008;fev;Importado;195;0,767716535433070835
110002;2008;mar;Autóctone;77;0,388888888888888895
110002;2008;mar;Importado;121;0,611111111111111160
110002;2008;abr;Autóctone;105;0,452586206896551713
110002;2008;abr;Importado;127;0,547413793103448287
110002;2008;mai;Autóctone;97;0,457547169811320764
110002;2008;mai;Importado;115;0,542452830188679291
110002;2008;jun;Autóctone;111;0,449392712550607309
110002;2008;jun;Importado;136;0,550607287449392691
110002;2008;jul;Autóctone;120;0,393442622950819665
110002;2008;jul;Importado;184;0,603278688524590212
110002;2008;jul;NA;1;0,003278688524590164
110002;2008;ago;Autóctone;102;0,334426229508196726
110002;2008;ago;Importado;202;0,662295081967213095
110002;2008;ago;NA;1;0,003278688524590164
110002;2008;set;Autóctone;139;0,397142857142857131
110002;2008;set;Importado;210;0,599999999999999978
110002;2008;set;NA;1;0,002857142857142857
110002;2008;out;Autóctone;101;0,274456521739130432
110002;2008;out;Importado;267;0,725543478260869512
110002;2008;nov;Autóctone;103;0,273936170212765950
110002;2008;nov;Importado;273;0,726063829787234050
110002;2008;dez;Autóctone;112;0,294736842105263130
110002;2008;dez;Importado;268;0,705263157894736814
110002;2009;jan;Autóctone;95;0,323129251700680298
110002;2009;jan;Importado;199;0,676870748299319702
110002;2009;fev;Autóctone;68;0,282157676348547715
110002;2009;fev;Importado;173;0,717842323651452285
110002;2009;mar;Autóctone;67;0,331683168316831700
110002;2009;mar;Importado;135;0,668316831683168355
110002;2009;abr;Autóctone;70;0,376344086021505375
110002;2009;abr;Importado;116;0,623655913978494625
110002;2009;mai;Autóctone;80;0,439560439560439553
110002;2009;mai;Importado;101;0,554945054945054972
110002;2009;mai;NA;1;0,005494505494505495
110002;2009;jun;Autóctone;79;0,438888888888888884
110002;2009;jun;Importado;101;0,561111111111111116
110002;2009;jul;Autóctone;99;0,402439024390243927
110002;2009;jul;Importado;146;0,593495934959349603
110002;2009;jul;NA;1;0,004065040650406504
110002;2009;ago;Autóctone;82;0,379629629629629650
110002;2009;ago;Importado;134;0,620370370370370350
110002;2009;set;Autóctone;118;0,371069182389937080
110002;2009;set;Importado;200;0,628930817610062864
110002;2009;out;Autóctone;85;0,348360655737704916
110002;2009;out;Importado;159;0,651639344262295084
110002;2009;nov;Autóctone;113;0,418518518518518512
110002;2009;nov;Importado;156;0,577777777777777724
110002;2009;nov;NA;1;0,003703703703703704
110002;2009;dez;Autóctone;100;0,348432055749128944
110002;2009;dez;Importado;187;0,651567944250871056
110002;2010;jan;Autóctone;60;0,276497695852534586
110002;2010;jan;Importado;157;0,723502304147465414
110002;2010;fev;Autóctone;79;0,411458333333333315
110002;2010;fev;Importado;113;0,588541666666666630
110002;2010;mar;Autóctone;65;0,408805031446540901
110002;2010;mar;Importado;94;0,591194968553459099
110002;2010;abr;Autóctone;88;0,419047619047619058
110002;2010;abr;Importado;122;0,580952380952380998
110002;2010;mai;Autóctone;102;0,461538461538461564
110002;2010;mai;Importado;117;0,529411764705882359
110002;2010;mai;NA;2;0,009049773755656109
110002;2010;jun;Autóctone;169;0,521604938271604923
110002;2010;jun;Importado;154;0,475308641975308643
