"uf","year_notif","escolaridade","count","perc"
"Pará",2011,"Educação superior completa",298,0.208417842805388
"Pará",2011,"Não se aplica",22599,15.8054860052314
"Pará",2012,"Analfabeto",6768,6.98754878275414
"Pará",2012,"1ª a 4ª série incompleta do EF",33859,34.9573602593487
"Pará",2012,"4ª série completa do EF",11201,11.5643519378885
"Pará",2012,"5ª a 8ª série incompleta do EF",16748,17.2912924074418
"Pará",2012,"Ensino fundamental completo",5033,5.19626669970472
"Pará",2012,"Ensino médio incompleto",3363,3.4720931673171
"Pará",2012,"Ensino médio completo",3144,3.24598897354891
"Pará",2012,"Educação superior incompleto",367,0.378905201428896
"Pará",2012,"Educação superior completa",280,0.289082987466188
"Pará",2012,"Não se aplica",16095,16.617109583101
"Pará",2013,"Analfabeto",2058,6.70227317136716
"Pará",2013,"1ª a 4ª série incompleta do EF",8067,26.2717384224582
"Pará",2013,"4ª série completa do EF",3137,10.2162443822054
"Pará",2013,"5ª a 8ª série incompleta do EF",8512,27.7209665863349
"Pará",2013,"Ensino fundamental completo",1817,5.91741027812154
"Pará",2013,"Ensino médio incompleto",1612,5.2497883149873
"Pará",2013,"Ensino médio completo",1530,4.9827395297336
"Pará",2013,"Educação superior incompleto",101,0.32892594281248
"Pará",2013,"Educação superior completa",115,0.374519637855794
"Pará",2013,"Não se aplica",3757,12.2353937341236
"Pará",2014,"Analfabeto",825,6.0122431132488
"Pará",2014,"1ª a 4ª série incompleta do EF",3856,28.1008599329544
"Pará",2014,"4ª série completa do EF",1328,9.67788952047806
"Pará",2014,"5ª a 8ª série incompleta do EF",3709,27.0295875236846
"Pará",2014,"Ensino fundamental completo",765,5.57498906864889
"Pará",2014,"Ensino médio incompleto",692,5.04299664771899
"Pará",2014,"Ensino médio completo",654,4.76606908613905
"Pará",2014,"Educação superior incompleto",31,0.225914589709955
"Pará",2014,"Educação superior completa",54,0.393528640139921
"Pará",2014,"Não se aplica",1808,13.1759218772774
"Pará",2015,"Analfabeto",782,6.82671322566565
"Pará",2015,"1ª a 4ª série incompleta do EF",3667,32.0122217372327
"Pará",2015,"4ª série completa do EF",1270,11.0868616324749
"Pará",2015,"5ª a 8ª série incompleta do EF",2045,17.8524661719773
"Pará",2015,"Ensino fundamental completo",674,5.88389349628983
"Pará",2015,"Ensino médio incompleto",592,5.16804888694893
"Pará",2015,"Ensino médio completo",464,4.05063291139241
"Pará",2015,"Educação superior incompleto",51,0.445220427760803
"Pará",2015,"Educação superior completa",64,0.558707987778263
"Pará",2015,"Não se aplica",1846,16.1152335224793
"Pará",2016,"Analfabeto",1299,6.89710098757566
"Pará",2016,"1ª a 4ª série incompleta do EF",6511,34.5704576829139
"Pará",2016,"4ª série completa do EF",1922,10.2049484973983
"Pará",2016,"5ª a 8ª série incompleta do EF",3155,16.7516194117022
"Pará",2016,"Ensino fundamental completo",1079,5.72900074333652
"Pará",2016,"Ensino médio incompleto",1099,5.83519167463099
"Pará",2016,"Ensino médio completo",809,4.29542317086121
"Pará",2016,"Educação superior incompleto",75,0.398215992354253
"Pará",2016,"Educação superior completa",119,0.631836041202081
"Pará",2016,"Não se aplica",2766,14.6862057980248
"Pará",2017,"Analfabeto",2961,5.76047624606047
"Pará",2017,"1ª a 4ª série incompleta do EF",20701,40.2727520329948
"Pará",2017,"4ª série completa do EF",5221,10.1571923271468
"Pará",2017,"5ª a 8ª série incompleta do EF",8416,16.3729037780631
"Pará",2017,"Ensino fundamental completo",2122,4.128244037197
